P,Census Region,State,Interconnect,Country,cap_reg_mult,source
p15,MTN,ID,WSCC,usa,1.06103,ReEDS
p15,MTN,ID,WSCC,usa,1.06004,ReEDS
p16,MTN,ID,WSCC,usa,1.06313,ReEDS
p16,MTN,ID,WSCC,usa,1.05942,ReEDS
p25,MTN,UT,WSCC,usa,1.0692,ReEDS
p25,MTN,UT,WSCC,usa,1.05969,ReEDS
p26,MTN,UT,WSCC,usa,1.05536,ReEDS
p25,MTN,UT,WSCC,usa,1.06175,ReEDS
p25,MTN,UT,WSCC,usa,1.05079,ReEDS
p27,MTN,AZ,WSCC,usa,1.0726,ReEDS
p28,MTN,AZ,WSCC,usa,1.04282,ReEDS
p29,MTN,AZ,WSCC,usa,1.036,ReEDS
p28,MTN,AZ,WSCC,usa,1.02604,ReEDS
p28,MTN,AZ,WSCC,usa,0.984597,ReEDS
p30,MTN,AZ,WSCC,usa,1.00826,ReEDS
p28,MTN,AZ,WSCC,usa,1.01469,ReEDS
p17,MTN,MT,WSCC,usa,1.06571,ReEDS
p17,MTN,MT,WSCC,usa,1.06475,ReEDS
p17,MTN,MT,WSCC,usa,1.06875,ReEDS
p17,MTN,MT,WSCC,usa,1.06628,ReEDS
p18,MTN,MT,WSCC,usa,1.07705,ReEDS
p18,MTN,MT,WSCC,usa,1.07091,ReEDS
p20,MTN,MT,WSCC,usa,1.06712,ReEDS
p18,MTN,MT,WSCC,usa,1.06135,ReEDS
p19,MTN,MT,WSCC,usa,1.05573,ReEDS
p20,MTN,MT,WSCC,usa,1.04558,ReEDS
p21,MTN,WY,WSCC,usa,1.04978,ReEDS
p21,MTN,WY,WSCC,usa,1.04994,ReEDS
p22,MTN,WY,WSCC,usa,1.04035,ReEDS
p23,MTN,WY,WSCC,usa,1.0305,ReEDS
p24,MTN,WY,WSCC,usa,1.03472,ReEDS
p33,MTN,CO,WSCC,usa,1.03835,ReEDS
p33,MTN,CO,WSCC,usa,1.03999,ReEDS
p34,MTN,CO,WSCC,usa,1.04216,ReEDS
p34,MTN,CO,WSCC,usa,1.03492,ReEDS
p33,MTN,CO,WSCC,usa,1.03223,ReEDS
p33,MTN,CO,WSCC,usa,1.03117,ReEDS
p33,MTN,CO,WSCC,usa,1.03042,ReEDS
p33,MTN,CO,WSCC,usa,1.02808,ReEDS
p34,MTN,CO,WSCC,usa,1.02937,ReEDS
p34,MTN,CO,WSCC,usa,1.03092,ReEDS
p33,MTN,CO,WSCC,usa,1.03216,ReEDS
p34,MTN,CO,WSCC,usa,1.0303,ReEDS
p34,MTN,CO,WSCC,usa,1.02995,ReEDS
p31,MTN,NM,WSCC,usa,1.03999,ReEDS
p31,MTN,NM,WSCC,usa,1.04023,ReEDS
p31,MTN,NM,WSCC,usa,1.03343,ReEDS
p31,MTN,NM,WSCC,usa,1.03882,ReEDS
p31,MTN,NM,WSCC,usa,1.03438,ReEDS
p31,MTN,NM,WSCC,usa,1.03193,ReEDS
p59,MTN,TX,WSCC,usa,1.03057,ReEDS
p32,MTN,SD,WSCC,usa,1.02413,ReEDS
p35,WNC,MT,eastern,usa,1.0445,ReEDS
p36,WNC,ND,eastern,usa,1.04467,ReEDS
p36,WNC,ND,eastern,usa,1.04102,ReEDS
p37,WNC,ND,eastern,usa,1.04546,ReEDS
p36,WNC,ND,eastern,usa,1.04293,ReEDS
p36,WNC,ND,eastern,usa,1.04284,ReEDS
p37,WNC,ND,eastern,usa,1.04701,ReEDS
p37,WNC,ND,eastern,usa,1.04965,ReEDS
p38,WNC,SD,eastern,usa,1.03567,ReEDS
p38,WNC,SD,eastern,usa,1.03259,ReEDS
p38,WNC,SD,eastern,usa,1.03418,ReEDS
p38,WNC,SD,eastern,usa,1.0282,ReEDS
p38,WNC,SD,eastern,usa,1.03595,ReEDS
p38,WNC,SD,eastern,usa,1.04553,ReEDS
p38,WNC,SD,eastern,usa,1.04135,ReEDS
p38,WNC,SD,eastern,usa,1.04213,ReEDS
p38,WNC,SD,eastern,usa,1.05271,ReEDS
p38,WNC,SD,eastern,usa,1.04886,ReEDS
p39,WNC,NE,eastern,usa,1.03209,ReEDS
p39,WNC,NE,eastern,usa,1.03339,ReEDS
p40,WNC,NE,eastern,usa,1.03693,ReEDS
p40,WNC,NE,eastern,usa,1.03784,ReEDS
p40,WNC,NE,eastern,usa,1.04459,ReEDS
p41,WNC,NE,eastern,usa,1.04516,ReEDS
p42,WNC,MN,eastern,usa,1.05294,ReEDS
p43,WNC,MN,eastern,usa,1.06267,ReEDS
p44,WNC,MN,eastern,usa,1.06636,ReEDS
p44,WNC,MN,eastern,usa,1.05744,ReEDS
p43,WNC,MN,eastern,usa,1.07042,ReEDS
p43,WNC,MN,eastern,usa,1.05425,ReEDS
p43,WNC,MN,eastern,usa,1.08383,ReEDS
p43,WNC,MN,eastern,usa,1.10033,ReEDS
p43,WNC,MN,eastern,usa,1.07945,ReEDS
p46,ENC,WI,eastern,usa,1.05425,ReEDS
p46,ENC,WI,eastern,usa,1.06666,ReEDS
p46,ENC,WI,eastern,usa,1.06255,ReEDS
p45,WNC,IA,eastern,usa,1.04985,ReEDS
p69,WNC,IA,eastern,usa,1.03958,ReEDS
p45,WNC,IA,eastern,usa,1.04658,ReEDS
p52,WNC,KS,eastern,usa,1.03157,ReEDS
p53,WNC,KS,eastern,usa,1.02941,ReEDS
p53,WNC,KS,eastern,usa,1.03308,ReEDS
p53,WNC,KS,eastern,usa,1.03166,ReEDS
p53,WNC,KS,eastern,usa,1.03167,ReEDS
p53,WNC,KS,eastern,usa,1.02455,ReEDS
p53,WNC,KS,eastern,usa,1.02834,ReEDS
p53,WNC,KS,eastern,usa,1.01443,ReEDS
p53,WNC,KS,eastern,usa,1.01914,ReEDS
p54,WNC,MO,eastern,usa,1.02354,ReEDS
p54,WNC,MO,eastern,usa,1.00747,ReEDS
p55,WNC,MO,eastern,usa,1.01455,ReEDS
p55,WNC,MO,eastern,usa,1.00905,ReEDS
p47,WSC,NM,eastern,usa,1.02564,ReEDS
p48,WSC,TX,eastern,usa,1.01547,ReEDS
p48,WSC,TX,eastern,usa,1.02138,ReEDS
p57,WSC,TX,eastern,usa,0.969774,ReEDS
p49,WSC,OK,eastern,usa,1.0256,ReEDS
p50,WSC,OK,eastern,usa,1.02336,ReEDS
p50,WSC,OK,eastern,usa,1.00789,ReEDS
p50,WSC,OK,eastern,usa,1.02518,ReEDS
p50,WSC,OK,eastern,usa,1.01474,ReEDS
p51,WSC,OK,eastern,usa,1.00973,ReEDS
p50,WSC,OK,eastern,usa,0.992745,ReEDS
p56,WSC,AR,eastern,usa,0.997775,ReEDS
p56,WSC,AR,eastern,usa,0.984315,ReEDS
p58,WSC,LA,eastern,usa,0.965707,ReEDS
p58,WSC,LA,eastern,usa,0.955936,ReEDS
p61,WSC,TX,texas,usa,1.01108,ReEDS
p62,WSC,TX,texas,usa,1.00541,ReEDS
p60,WSC,TX,texas,usa,1.00363,ReEDS
p61,WSC,TX,texas,usa,0.989859,ReEDS
p63,WSC,TX,texas,usa,0.990439,ReEDS
p63,WSC,TX,texas,usa,0.98306,ReEDS
p63,WSC,TX,texas,usa,0.966398,ReEDS
p63,WSC,TX,texas,usa,0.966852,ReEDS
