Vehicle Model,MPG_city,MPG_hw
'MERCEDES-BENZ GLC 300 2 4 Auto-9 2WD MPG(22 city/27 hw)',22,27
'MERCEDES-BENZ GLC 300 4Matic 2 4 Auto-9 4WD MPG(21 city/27 hw)',21,27
'MERCEDES-BENZ GLC 300 4Matic 2 4 Auto-9 4WD MPG(22 city/27 hw)',22,27
'MITSUBISHI Eclipse Cross 1.5 4 SCV-8 2WD MPG(25 city/28 hw)',25,28
'MITSUBISHI Eclipse Cross 1.5 4 SCV-8 4WD MPG(25 city/26 hw)',25,26
'MITSUBISHI Eclipse Cross ES 1.5 4 SCV-8 2WD MPG(26 city/29 hw)',26,29
'MITSUBISHI Eclipse Cross ES 1.5 4 SCV-8 4WD MPG(25 city/28 hw)',25,28
'MITSUBISHI Outlander 2.4 4 SCV-6 2WD MPG(25 city/30 hw)',25,30
'MITSUBISHI Outlander 2.4 4 SCV-6 4WD MPG(24 city/29 hw)',24,29
'MITSUBISHI Outlander 3 6 SemiAuto-6 4WD MPG(20 city/27 hw)',20,27
'MITSUBISHI Outlander Sport 2 4 Man-5 2WD MPG(23 city/29 hw)',23,29
'MITSUBISHI Outlander Sport 2 4 SCV-6 2WD MPG(24 city/30 hw)',24,30
'MITSUBISHI Outlander Sport 2 4 SCV-6 4WD MPG(23 city/29 hw)',23,29
'MITSUBISHI Outlander Sport 2.4 4 SCV-6 2WD MPG(23 city/29 hw)',23,29
'MITSUBISHI Outlander Sport 2.4 4 SCV-6 4WD MPG(23 city/28 hw)',23,28
'NISSAN Pathfinder 3.5 6 CVT 2WD MPG(20 city/27 hw)',20,27
'NISSAN Pathfinder 3.5 6 CVT 4WD MPG(19 city/26 hw)',19,26
'NISSAN Pathfinder 4WD Platinum 3.5 6 CVT 4WD MPG(19 city/26 hw)',19,26
'NISSAN Rogue 2.5 4 CVT 2WD MPG(26 city/33 hw)',26,33
