dy,day_contribution,IE_day,FD_day,Total
129,0.002889338,,,
130,0.002889338,,,
131,0.002889338,,,
132,0.002889338,,,
133,0.002369257,,,
134,0.002369257,,,
135,0.002889338,,,
136,0.002889338,,,
137,0.002889338,,,
138,0.002889338,,,
139,0.002889338,,,
140,0.002369257,,,
141,0.002369257,,,
142,0.002889338,,,
143,0.002889338,,,
144,0.002889338,,,
145,0.002889338,,,
146,0.002889338,,,
147,0.002369257,,,
148,0.002369257,,,
149,0.002889338,,,
150,0.002889338,,,
151,0.002889338,,,
152,0.002889338,,,
153,0.002889338,,,
154,0.002369257,,,
155,0.002369257,,,
156,0.002889338,,,
157,0.002889338,,,
158,0.002889338,,,
159,0.002889338,,,
160,0.002889338,,,
161,0.002369257,,,
162,0.002369257,,,
163,0.002889338,,,
164,0.002889338,,,
165,0.002889338,,,
166,0.002889338,,,
167,0.002889338,,,
168,0.002369257,,,
169,0.002369257,,,
170,0.002889338,,,
171,0.002889338,,,
172,0.002889338,,,
173,0.002889338,,,
174,0.002889338,,,
175,0.002369257,,,
176,0.002369257,,,
177,0.002889338,,,
178,0.002889338,,,
179,0.002889338,,,
180,0.002889338,,,
181,0.002889338,,,
182,0.002369257,,,
183,0.002369257,,,
184,0.002889338,,,
185,0.002889338,,,
186,0.002889338,,,
187,0.002889338,,,
188,0.002889338,,,
189,0.002369257,,,
190,0.002369257,,,
191,0.002889338,,,
192,0.002889338,,,
193,0.002889338,,,
194,0.002889338,,,
195,0.002889338,,,
196,0.002369257,,,
197,0.002369257,,,
198,0.002889338,,,
199,0.002889338,,,
200,0.002889338,,,
201,0.002889338,,,
202,0.002889338,,,
203,0.002369257,,,
204,0.002369257,,,
205,0.002889338,,,
206,0.002889338,,,
207,0.002889338,,,
208,0.002889338,,,
209,0.002889338,,,
210,0.002369257,,,
211,0.002369257,,,
212,0.002889338,,,
213,0.002889338,,,
214,0.002889338,,,
215,0.002889338,,,
216,0.002889338,,,
217,0.002369257,,,
218,0.002369257,,,
219,0.002889338,,,
220,0.002889338,,,
221,0.002889338,,,
222,0.002889338,,,
223,0.002889338,,,
224,0.002369257,,,
225,0.002369257,,,
226,0.002889338,,,
227,0.002889338,,,
228,0.002889338,,,
229,0.002889338,,,
230,0.002889338,,,
231,0.002369257,,,
232,0.002369257,,,
233,0.002889338,,,
234,0.002889338,,,
235,0.002889338,,,
236,0.002889338,,,
237,0.002889338,,,
238,0.002369257,,,
239,0.002369257,,,
240,0.002889338,,,
241,0.002889338,,,
242,0.002889338,,,
243,0.002889338,,,
244,0.002889338,,,
245,0.002369257,,,
246,0.002369257,,,
247,0.002889338,,,
248,0.002889338,,,
249,0.002889338,,,
