Vehicle Model,MPG_city,MPG_hw
'MINI Cooper Countryman All4 1.5 3 SemiAuto-8 4WD MPG(23 city/30 hw)',23,30
'MINI Cooper S Clubman 2 4 Man-6 2WD MPG(22 city/31 hw)',22,31
'MINI Cooper S Clubman 2 4 SemiAuto-8 2WD MPG(23 city/32 hw)',23,32
'MINI Cooper S Clubman All4 2 4 Man-6 4WD MPG(21 city/30 hw)',21,30
'MINI Cooper S Clubman All4 2 4 SemiAuto-8 4WD MPG(23 city/31 hw)',23,31
'MINI Cooper S Countryman 2 4 SemiAuto-8 2WD MPG(23 city/32 hw)',23,32
'MINI Cooper S Countryman All4 2 4 Man-6 4WD MPG(21 city/30 hw)',21,30
'MINI Cooper S Countryman All4 2 4 SemiAuto-8 4WD MPG(22 city/31 hw)',22,31
'MINI JCW Countryman All4 2 4 Man-6 4WD MPG(21 city/30 hw)',21,30
'MINI JCW Countryman All4 2 4 SemiAuto-8 4WD MPG(22 city/30 hw)',22,30
'MINI John Cooper Works Clubman All4 2 4 Man-6 4WD MPG(21 city/30 hw)',21,30
'MINI John Cooper Works Clubman All4 2 4 SemiAuto-8 4WD MPG(23 city/31 hw)',23,31
'NISSAN Altima 2.5 4 CVT 2WD MPG(28 city/39 hw)',28,39
'NISSAN Altima 2.5 4 CVT 4WD MPG(26 city/36 hw)',26,36
'NISSAN Altima SR/Platinum 2 4 CVT 2WD MPG(25 city/34 hw)',25,34
'NISSAN Altima SR/Platinum 2.5 4 CVT 2WD MPG(27 city/37 hw)',27,37
'NISSAN Altima SR/Platinum 2.5 4 CVT 4WD MPG(25 city/35 hw)',25,35
'NISSAN Kicks 1.6 4 CVT 2WD MPG(31 city/36 hw)',31,36
'NISSAN Maxima 3.5 6 SCV-7 2WD MPG(20 city/30 hw)',20,30
'NISSAN Sentra 1.6 4 SCV-7 2WD MPG(27 city/33 hw)',27,33
'NISSAN Sentra 1.8 4 CVT 2WD MPG(29 city/37 hw)',29,37
'NISSAN Sentra 1.8 4 Man-6 2WD MPG(27 city/35 hw)',27,35
'NISSAN Sentra Nismo 1.6 4 Man-6 2WD MPG(25 city/31 hw)',25,31
'NISSAN Sentra Nismo 1.6 4 SCV-7 2WD MPG(25 city/30 hw)',25,30
'ROLLS-ROYCE Wraith 6.6 12 SemiAuto-8 2WD MPG(12 city/18 hw)',12,18
'SUBARU Impreza 2 4 Man-5 4WD MPG(24 city/32 hw)',24,32
'SUBARU Impreza 2 4 SCV-7 4WD MPG(28 city/38 hw)',28,38
'SUBARU Impreza 4-Door Sport 2 4 Man-5 4WD MPG(23 city/31 hw)',23,31
'SUBARU Impreza 4-Door Sport 2 4 SCV-7 4WD MPG(27 city/36 hw)',27,36
'SUBARU Legacy 2.5 4 SCV-7 4WD MPG(25 city/34 hw)',25,34
'SUBARU Legacy 3.6 6 SCV-6 4WD MPG(20 city/28 hw)',20,28
'TOYOTA Avalon 3.5 6 SemiAuto-8 2WD MPG(22 city/31 hw)',22,31
'TOYOTA Avalon XLE 3.5 6 SemiAuto-8 2WD MPG(22 city/32 hw)',22,32
'TOYOTA Camry 2.5 4 SemiAuto-8 2WD MPG(29 city/41 hw)',29,41
'TOYOTA Camry 3.5 6 SemiAuto-8 2WD MPG(22 city/33 hw)',22,33
'TOYOTA Camry LE/SE 2.5 4 SemiAuto-8 2WD MPG(28 city/39 hw)',28,39
'TOYOTA Camry XLE/XSE 2.5 4 SemiAuto-8 2WD MPG(28 city/39 hw)',28,39
'TOYOTA Camry XSE 3.5 6 SemiAuto-8 2WD MPG(22 city/32 hw)',22,32
'TOYOTA Corolla 1.8 4 CVT 2WD MPG(28 city/36 hw)',28,36
'TOYOTA Corolla 1.8 4 Man-6 2WD MPG(27 city/35 hw)',27,35
'TOYOTA Corolla 1.8 4 SCV-7 2WD MPG(28 city/35 hw)',28,35
'TOYOTA Corolla LE Eco 1.8 4 CVT 2WD MPG(29 city/38 hw)',29,38
'TOYOTA Corolla LE Eco 1.8 4 CVT 2WD MPG(30 city/40 hw)',30,40
'TOYOTA Prius 1.8 4 CVT 2WD MPG(54 city/50 hw)',54,50
'TOYOTA Prius 1.8 4 CVT 4WD MPG(52 city/48 hw)',52,48
'TOYOTA Prius Eco 1.8 4 CVT 2WD MPG(58 city/53 hw)',58,53
'VOLKSWAGEN Passat 2 4 SemiAuto-6 2WD MPG(25 city/36 hw)',25,36
'VOLVO S90 2 4 SemiAuto-8 2WD MPG(23 city/35 hw)',23,35
'VOLVO S90 2 4 SemiAuto-8 4WD MPG(21 city/31 hw)',21,31
'VOLVO S90 2 4 SemiAuto-8 4WD MPG(22 city/31 hw)',22,31
