Orlando,Atlanta,Austin,Phoenix,LA,Charlotte,Nashville,Baltimore,St. Louis,Kansas City,San Francisco,Boston,Salt Lake City,Minneapolis,New York,San Diego,Minneapolis TMY,Boston TMY
23.33333333,25,22.77777778,37.77777778,18.88888889,28.88888889,30,27.77777778,30.55555556,28.33333333,17.77777778,25.6,26.1,23.33333333,25,19.44444444,19,17
23.88888889,25,22.22222222,36.66666667,18.88888889,27.77777778,28.88888889,27.22222222,27.77777778,28.33333333,17.22222222,24.4,25,24.44444444,24.44444444,19.44444444,18,16
23.33333333,24.44444444,22.22222222,36.11111111,18.88888889,27.22222222,27.22222222,26.66666667,27.77777778,27.77777778,16.66666667,24.4,23.9,23.88888889,24.44444444,19.44444444,17,16
22.77777778,23.88888889,21.66666667,35,18.88888889,27.22222222,27.77777778,26.66666667,28.33333333,27.77777778,16.11111111,24.4,23.3,23.88888889,24.44444444,19.44444444,17,15
22.77777778,23.88888889,21.66666667,34.44444444,18.33333333,26.11111111,26.66666667,26.11111111,27.22222222,27.77777778,16.11111111,26.1,22.8,23.88888889,24.44444444,19.44444444,17,15
23.33333333,23.88888889,21.66666667,33.33333333,18.33333333,25.55555556,26.11111111,25.55555556,27.22222222,25.55555556,15.55555556,25.6,21.1,23.88888889,24.44444444,18.88888889,17,14
22.77777778,23.88888889,22.22222222,33.33333333,17.77777778,25,26.11111111,25.55555556,25.55555556,23.88888889,16.11111111,26.7,22.2,23.33333333,23.88888889,18.88888889,18,14
22.77777778,23.88888889,22.22222222,31.66666667,17.77777778,24.44444444,25,25.55555556,26.11111111,22.77777778,15.55555556,24.4,21.7,23.33333333,24.44444444,19.44444444,18,14
23.33333333,23.88888889,22.77777778,31.66666667,18.33333333,24.44444444,26.66666667,26.11111111,27.22222222,23.33333333,16.11111111,26.1,22.8,23.33333333,25,19.44444444,18,15
24.44444444,25,23.33333333,32.22222222,20,25.55555556,28.33333333,27.22222222,29.44444444,25.55555556,17.77777778,27.2,24.4,23.88888889,25,20,19,16
25.55555556,26.11111111,23.88888889,33.88888889,21.11111111,27.22222222,31.11111111,27.22222222,31.11111111,26.66666667,19.44444444,28.9,26.7,24.44444444,26.11111111,22.22222222,20,18
27.22222222,27.22222222,26.11111111,35.55555556,22.22222222,28.33333333,31.11111111,28.33333333,32.77777778,28.88888889,20,30.6,28.9,24.44444444,26.66666667,24.44444444,22,19
28.88888889,28.33333333,27.22222222,36.66666667,23.33333333,28.88888889,32.77777778,30.55555556,33.88888889,28.33333333,21.11111111,32.2,31.1,25,27.77777778,25.55555556,24,20
29.44444444,27.77777778,28.88888889,39.44444444,23.88888889,30,33.88888889,31.11111111,35,29.44444444,22.77777778,32.8,31.7,27.22222222,28.33333333,25,25,20
30.55555556,29.44444444,30,41.11111111,24.44444444,31.66666667,35,32.77777778,35.55555556,31.66666667,22.77777778,33.3,32.2,27.22222222,28.88888889,25,27,21
22.77777778,30.55555556,32.77777778,43.33333333,25,32.22222222,35,32.77777778,35,31.66666667,22.22222222,33.9,33.9,27.77777778,29.44444444,25,28,21
25.55555556,30,31.66666667,42.77777778,25,33.33333333,35,29.44444444,33.88888889,31.66666667,22.77777778,33.9,35,27.77777778,29.44444444,25,28,22
26.11111111,29.44444444,33.33333333,44.44444444,25.55555556,33.33333333,36.11111111,28.88888889,35,32.22222222,24.44444444,33.9,35.6,28.33333333,29.44444444,25,28,22
26.11111111,31.66666667,33.88888889,45,25.55555556,32.77777778,36.11111111,32.22222222,34.44444444,32.22222222,23.88888889,33.3,35.6,27.77777778,28.33333333,25,27,22
26.66666667,31.11111111,33.33333333,45.55555556,23.88888889,33.88888889,34.44444444,31.66666667,26.66666667,31.66666667,22.22222222,33.3,36.1,27.77777778,27.77777778,23.88888889,27,21
27.22222222,30,33.33333333,42.77777778,23.33333333,32.77777778,32.77777778,31.11111111,27.77777778,31.11111111,21.11111111,31.1,35.6,27.22222222,27.22222222,22.77777778,26,21
27.22222222,29.44444444,32.77777778,41.66666667,23.33333333,31.11111111,31.66666667,29.44444444,27.77777778,30,20,28.9,35,26.11111111,26.11111111,21.66666667,25,20
23.33333333,27.77777778,30.55555556,40.55555556,23.88888889,28.88888889,28.88888889,28.33333333,26.66666667,27.22222222,19.44444444,27.2,33.3,24.44444444,25.55555556,21.66666667,23,19
21.66666667,27.77777778,30,38.88888889,21.66666667,28.88888889,26.66666667,27.77777778,25,26.66666667,19.44444444,27.8,31.7,22.77777778,25,21.66666667,22,18
22.22222222,27.22222222,26.11111111,37.77777778,21.11111111,27.77777778,27.77777778,27.22222222,24.44444444,26.66666667,19.44444444,26.7,29.4,22.22222222,25,21.66666667,21,18
22.77777778,26.11111111,26.66666667,38.33333333,21.11111111,27.22222222,26.66666667,26.66666667,24.44444444,26.11111111,18.88888889,26.7,28.9,20.55555556,25,21.11111111,21,17
22.22222222,25.55555556,25.55555556,37.22222222,21.11111111,26.11111111,25.55555556,26.66666667,23.88888889,25,18.88888889,26.1,28.3,20,24.44444444,20.55555556,21,16
22.22222222,25,25,37.22222222,23.33333333,25,25,26.11111111,23.88888889,25,18.88888889,26.1,27.2,18.88888889,24.44444444,20.55555556,21,16
22.22222222,25,25,36.66666667,21.11111111,24.44444444,25.55555556,26.11111111,23.88888889,23.88888889,18.88888889,26.1,26.7,19.44444444,25,20,21,15
22.77777778,24.44444444,25,36.11111111,21.11111111,23.88888889,25,25.55555556,23.88888889,23.33333333,20.55555556,26.1,26.1,18.33333333,25,20,20,15
22.77777778,23.88888889,23.33333333,35.55555556,21.66666667,23.33333333,25.55555556,25.55555556,23.88888889,23.88888889,20.55555556,26.1,24.4,17.22222222,24.44444444,20.55555556,20,15
22.77777778,23.33333333,23.33333333,35,20.55555556,22.77777778,25,25.55555556,23.33333333,23.88888889,20.55555556,26.7,25,17.77777778,25,20.55555556,20,15
22.77777778,23.88888889,23.33333333,34.44444444,21.11111111,23.33333333,25,26.11111111,24.44444444,23.88888889,20,27.2,25,19.44444444,25.55555556,21.66666667,22,17
24.44444444,25,25,35.55555556,23.33333333,26.11111111,27.22222222,26.66666667,26.11111111,24.44444444,20,27.8,26.7,20.55555556,23.88888889,22.77777778,24,19
26.11111111,26.11111111,27.22222222,36.66666667,27.22222222,27.77777778,29.44444444,28.33333333,27.22222222,25.55555556,21.66666667,28.9,28.9,22.22222222,23.33333333,24.44444444,26,20
26.66666667,28.33333333,28.33333333,37.77777778,28.88888889,29.44444444,30.55555556,27.77777778,28.88888889,26.11111111,22.77777778,28.9,31.7,23.33333333,23.33333333,27.77777778,29,21
27.22222222,28.88888889,30,38.88888889,29.44444444,31.11111111,32.77777778,27.22222222,29.44444444,27.22222222,23.88888889,28.9,33.3,24.44444444,24.44444444,28.88888889,30,22
27.77777778,29.44444444,32.22222222,40,31.11111111,32.77777778,23.88888889,28.33333333,30,28.88888889,26.11111111,26.1,35,25,25,31.66666667,31,23
28.33333333,30,32.22222222,41.66666667,30.55555556,33.88888889,24.44444444,28.88888889,31.11111111,30.55555556,27.77777778,23.9,35.6,25.55555556,26.66666667,29.44444444,32,24
28.88888889,30.55555556,34.44444444,41.66666667,31.66666667,35.55555556,23.88888889,30.55555556,31.66666667,31.66666667,27.22222222,25,37.2,26.66666667,26.66666667,32.22222222,32,24
30,30.55555556,33.88888889,42.77777778,30,35,26.11111111,29.44444444,32.77777778,32.22222222,28.33333333,27.2,36.7,26.11111111,25,35.55555556,33,25
23.88888889,31.66666667,34.44444444,43.33333333,32.22222222,33.88888889,27.77777778,28.88888889,30.55555556,32.22222222,28.88888889,28.3,37.8,26.66666667,26.66666667,32.77777778,32,24
22.22222222,26.66666667,35,43.88888889,32.22222222,28.88888889,27.77777778,29.44444444,30.55555556,32.77777778,27.77777778,28.9,38.3,27.77777778,27.22222222,28.33333333,32,24
23.88888889,23.88888889,34.44444444,43.33333333,31.11111111,23.88888889,27.22222222,28.88888889,28.88888889,32.77777778,28.33333333,28.9,37.8,27.22222222,27.77777778,25,32,23
23.88888889,24.44444444,34.44444444,42.77777778,30.55555556,23.33333333,23.33333333,29.44444444,28.33333333,31.66666667,24.44444444,27.8,37.2,26.66666667,27.22222222,23.33333333,31,22
23.33333333,23.88888889,32.77777778,42.22222222,27.77777778,23.33333333,24.44444444,28.33333333,26.66666667,30,24.44444444,26.1,35.6,26.11111111,27.22222222,23.33333333,28,20
23.33333333,23.88888889,31.11111111,41.66666667,28.33333333,22.77777778,23.88888889,27.22222222,25.55555556,28.33333333,26.66666667,23.9,33.9,25.55555556,26.66666667,22.22222222,25,19
23.88888889,22.77777778,29.44444444,40.55555556,28.88888889,22.77777778,23.88888889,27.22222222,23.88888889,27.77777778,28.88888889,22.2,32.8,25,24.44444444,22.22222222,24,19
24.44444444,22.77777778,28.88888889,39.44444444,30,22.77777778,23.33333333,26.11111111,22.77777778,26.66666667,17.77777778,20.6,29.4,23.88888889,22.77777778,22.22222222,23,18
