gen type,solar - FRCC,solar - MRO,solar - NPCC,solar - RFC,solar - SERC north,solar - SERC south,solar - SPP,solar - TRE,solar - WECC north,solar - WECC south,solar - WECC west,wind - FRCC,wind - MRO,wind - NPCC,wind - RFC,wind - SERC north,wind - SERC south,wind - SPP,wind - TRE,wind - WECC north,wind - WECC south
7073,0,0,0,0,0,0,0,0,0,1.540464803,1.540464803,1.005426485,1.005426485,1.005426485,1.005426485,1.005426485,1.005426485,1.005426485,1.005426485,1.005426485,1.005426485
7074,0,0,0,0,0,0,0,0,0,0,0,1.249236602,1.249236602,1.249236602,1.249236602,1.249236602,1.249236602,1.249236602,1.249236602,1.249236602,1.249236602
7075,0,0,0,0,0,0,0,0,0,0,0,1.537164741,1.537164741,1.537164741,1.537164741,1.537164741,1.537164741,1.537164741,1.537164741,1.537164741,1.537164741
7076,0,0,0,0,0,0,0,0,0,0,0,1.688094814,1.688094814,1.688094814,1.688094814,1.688094814,1.688094814,1.688094814,1.688094814,1.688094814,1.688094814
7077,0,0,0,0,0,0,0,0,0,0,0,1.683450812,1.683450812,1.683450812,1.683450812,1.683450812,1.683450812,1.683450812,1.683450812,1.683450812,1.683450812
7078,0,0,0,0,0,0,0,0,0,0,0,1.718280829,1.718280829,1.718280829,1.718280829,1.718280829,1.718280829,1.718280829,1.718280829,1.718280829,1.718280829
7079,0,0,0,0,0,0,0,0,0,0,0,1.690416815,1.690416815,1.690416815,1.690416815,1.690416815,1.690416815,1.690416815,1.690416815,1.690416815,1.690416815
7080,0,0,0,0,0,0,0,0,0,0,0,1.648620795,1.648620795,1.648620795,1.648620795,1.648620795,1.648620795,1.648620795,1.648620795,1.648620795,1.648620795
7081,0,0,0,0,0,0,0,0,0,0,0,1.569672757,1.569672757,1.569672757,1.569672757,1.569672757,1.569672757,1.569672757,1.569672757,1.569672757,1.569672757
7082,0,0,0,0,0,0,0,0,0,0,0,1.562706754,1.562706754,1.562706754,1.562706754,1.562706754,1.562706754,1.562706754,1.562706754,1.562706754,1.562706754
7083,0,0,0,0,0,0,0,0,0,0,0,1.518588732,1.518588732,1.518588732,1.518588732,1.518588732,1.518588732,1.518588732,1.518588732,1.518588732,1.518588732
7084,0,0,0,0,0,0,0,0,0,0,0,1.630044786,1.630044786,1.630044786,1.630044786,1.630044786,1.630044786,1.630044786,1.630044786,1.630044786,1.630044786
7085,0,0,0,0,0,0,0,0,0,0,0,1.539486742,1.539486742,1.539486742,1.539486742,1.539486742,1.539486742,1.539486742,1.539486742,1.539486742,1.539486742
7086,0,0,0,0,0,0,0,0,0,0,0,1.425708687,1.425708687,1.425708687,1.425708687,1.425708687,1.425708687,1.425708687,1.425708687,1.425708687,1.425708687
7087,0.062748469,0.062748469,0.062748469,0.062748469,0.062748469,0.062748469,0.062748469,0.062748469,0.062748469,1.08785401,1.08785401,1.14010255,1.14010255,1.14010255,1.14010255,1.14010255,1.14010255,1.14010255,1.14010255,1.14010255,1.14010255
7088,0.159284575,0.159284575,0.159284575,0.159284575,0.159284575,0.159284575,0.159284575,0.159284575,0.159284575,2.219380991,2.219380991,1.114560537,1.114560537,1.114560537,1.114560537,1.114560537,1.114560537,1.114560537,1.114560537,1.114560537,1.114560537
7089,0.574389831,0.574389831,0.574389831,0.574389831,0.574389831,0.574389831,0.574389831,0.574389831,0.574389831,2.703753945,2.703753945,1.444284696,1.444284696,1.444284696,1.444284696,1.444284696,1.444284696,1.444284696,1.444284696,1.444284696,1.444284696
7090,1.834186014,1.834186014,1.834186014,1.834186014,1.834186014,1.834186014,1.834186014,1.834186014,1.834186014,2.914178261,2.914178261,1.792584864,1.792584864,1.792584864,1.792584864,1.792584864,1.792584864,1.792584864,1.792584864,1.792584864,1.792584864
7091,3.291881214,3.291881214,3.291881214,3.291881214,3.291881214,3.291881214,3.291881214,3.291881214,3.291881214,2.957851232,2.957851232,1.829736882,1.829736882,1.829736882,1.829736882,1.829736882,1.829736882,1.829736882,1.829736882,1.829736882,1.829736882
7092,3.750427718,3.750427718,3.750427718,3.750427718,3.750427718,3.750427718,3.750427718,3.750427718,3.750427718,2.989613393,2.989613393,1.750788844,1.750788844,1.750788844,1.750788844,1.750788844,1.750788844,1.750788844,1.750788844,1.750788844,1.750788844
7093,3.731120497,3.731120497,3.731120497,3.731120497,3.731120497,3.731120497,3.731120497,3.731120497,3.731120497,3.033286364,3.033286364,1.655586798,1.655586798,1.655586798,1.655586798,1.655586798,1.655586798,1.655586798,1.655586798,1.655586798,1.655586798
7094,3.576662727,3.576662727,3.576662727,3.576662727,3.576662727,3.576662727,3.576662727,3.576662727,3.576662727,2.941970151,2.941970151,1.595214769,1.595214769,1.595214769,1.595214769,1.595214769,1.595214769,1.595214769,1.595214769,1.595214769,1.595214769
7095,3.14225025,3.14225025,3.14225025,3.14225025,3.14225025,3.14225025,3.14225025,3.14225025,3.14225025,2.759337726,2.759337726,1.620756782,1.620756782,1.620756782,1.620756782,1.620756782,1.620756782,1.620756782,1.620756782,1.620756782,1.620756782
7096,1.829359209,1.829359209,1.829359209,1.829359209,1.829359209,1.829359209,1.829359209,1.829359209,1.829359209,2.350399905,2.350399905,1.53484274,1.53484274,1.53484274,1.53484274,1.53484274,1.53484274,1.53484274,1.53484274,1.53484274,1.53484274
7097,0,0,0,0,0,0,0,0,0,1.306218866,1.306218866,1.434996692,1.434996692,1.434996692,1.434996692,1.434996692,1.434996692,1.434996692,1.434996692,1.434996692,1.434996692
7098,0,0,0,0,0,0,0,0,0,0,0,1.404810677,1.404810677,1.404810677,1.404810677,1.404810677,1.404810677,1.404810677,1.404810677,1.404810677,1.404810677
7099,0,0,0,0,0,0,0,0,0,0,0,1.274778615,1.274778615,1.274778615,1.274778615,1.274778615,1.274778615,1.274778615,1.274778615,1.274778615,1.274778615
7100,0,0,0,0,0,0,0,0,0,0,0,1.093662527,1.093662527,1.093662527,1.093662527,1.093662527,1.093662527,1.093662527,1.093662527,1.093662527,1.093662527
7101,0,0,0,0,0,0,0,0,0,0,0,0.882360425,0.882360425,0.882360425,0.882360425,0.882360425,0.882360425,0.882360425,0.882360425,0.882360425,0.882360425
7102,0,0,0,0,0,0,0,0,0,0,0,0.712854344,0.712854344,0.712854344,0.712854344,0.712854344,0.712854344,0.712854344,0.712854344,0.712854344,0.712854344
7103,0,0,0,0,0,0,0,0,0,0,0,0.606042292,0.606042292,0.606042292,0.606042292,0.606042292,0.606042292,0.606042292,0.606042292,0.606042292,0.606042292
7104,0,0,0,0,0,0,0,0,0,0,0,0.575856278,0.575856278,0.575856278,0.575856278,0.575856278,0.575856278,0.575856278,0.575856278,0.575856278,0.575856278
7105,0,0,0,0,0,0,0,0,0,0,0,0.585144282,0.585144282,0.585144282,0.585144282,0.585144282,0.585144282,0.585144282,0.585144282,0.585144282,0.585144282
7106,0,0,0,0,0,0,0,0,0,0,0,0.592110286,0.592110286,0.592110286,0.592110286,0.592110286,0.592110286,0.592110286,0.592110286,0.592110286,0.592110286
7107,0,0,0,0,0,0,0,0,0,0,0,0.582822281,0.582822281,0.582822281,0.582822281,0.582822281,0.582822281,0.582822281,0.582822281,0.582822281,0.582822281
7108,0,0,0,0,0,0,0,0,0,0,0,0.522450252,0.522450252,0.522450252,0.522450252,0.522450252,0.522450252,0.522450252,0.522450252,0.522450252,0.522450252
7109,0,0,0,0,0,0,0,0,0,0,0,0.413316199,0.413316199,0.413316199,0.413316199,0.413316199,0.413316199,0.413316199,0.413316199,0.413316199,0.413316199
7110,0.337876371,0.337876371,0.337876371,0.337876371,0.337876371,0.337876371,0.337876371,0.337876371,0.337876371,0,0,0.24845412,0.24845412,0.24845412,0.24845412,0.24845412,0.24845412,0.24845412,0.24845412,0.24845412,0.24845412
7111,2.16723558,2.16723558,2.16723558,2.16723558,2.16723558,2.16723558,2.16723558,2.16723558,2.16723558,0.861548614,0.861548614,0.132354064,0.132354064,0.132354064,0.132354064,0.132354064,0.132354064,0.132354064,0.132354064,0.132354064,0.132354064
7112,3.118116224,3.118116224,3.118116224,3.118116224,3.118116224,3.118116224,3.118116224,3.118116224,3.118116224,2.068510727,2.068510727,0.039474019,0.039474019,0.039474019,0.039474019,0.039474019,0.039474019,0.039474019,0.039474019,0.039474019,0.039474019
7113,3.499433842,3.499433842,3.499433842,3.499433842,3.499433842,3.499433842,3.499433842,3.499433842,3.499433842,2.652140433,2.652140433,0,0,0,0,0,0,0,0,0,0
7114,3.682852444,3.682852444,3.682852444,3.682852444,3.682852444,3.682852444,3.682852444,3.682852444,3.682852444,2.922118801,2.922118801,0,0,0,0,0,0,0,0,0,0
7115,3.610450364,3.610450364,3.610450364,3.610450364,3.610450364,3.610450364,3.610450364,3.610450364,3.610450364,3.021375554,3.021375554,0.013932007,0.013932007,0.013932007,0.013932007,0.013932007,0.013932007,0.013932007,0.013932007,0.013932007,0.013932007
7116,3.769734939,3.769734939,3.769734939,3.769734939,3.769734939,3.769734939,3.769734939,3.769734939,3.769734939,3.072989065,3.072989065,0.08359204,0.08359204,0.08359204,0.08359204,0.08359204,0.08359204,0.08359204,0.08359204,0.08359204,0.08359204
7117,3.716640081,3.716640081,3.716640081,3.716640081,3.716640081,3.716640081,3.716640081,3.716640081,3.716640081,3.156364737,3.156364737,0.202014097,0.202014097,0.202014097,0.202014097,0.202014097,0.202014097,0.202014097,0.202014097,0.202014097,0.202014097
