Turbine,census_region,state,p,interconnect,country,reg_cap_cost_mult,source
Gas Turbine,mex,CAM_CHP_TAB,p194,mexico,mex,1,EIA
Combined Cycle,mex,CAM_CHP_TAB,p195,mexico,mex,1,EIA
Gas Turbine,mex,CAM_CHP_TAB,p195,mexico,mex,1,EIA
Combined Cycle,mex,DIF_HID_mex_MOR_OAX_PUE_TAM_TLA_VER,p196,mexico,mex,1,EIA
Gas Turbine,mex,DIF_HID_mex_MOR_OAX_PUE_TAM_TLA_VER,p196,mexico,mex,1,EIA
Combined Cycle,mex,CAM_CHP_TAB,p197,mexico,mex,1,EIA
Gas Turbine,mex,CAM_CHP_TAB,p197,mexico,mex,1,EIA
Combined Cycle,mex,YUC,p198,mexico,mex,1,EIA
Gas Turbine,mex,YUC,p198,mexico,mex,1,EIA
Combined Cycle,mex,ROO,p199,mexico,mex,1,EIA
Gas Turbine,mex,ROO,p199,mexico,mex,1,EIA
Combined Cycle,mex,ROO,p200,mexico,mex,1,EIA
Gas Turbine,mex,ROO,p200,mexico,mex,1,EIA
Combined Cycle,mex,BCN,p201,mexico,mex,1,EIA
Gas Turbine,mex,BCN,p201,mexico,mex,1,EIA
Combined Cycle,mex,BCN,p202,mexico,mex,1,EIA
Gas Turbine,mex,BCN,p202,mexico,mex,1,EIA
Combined Cycle,mex,BCN,p203,mexico,mex,1,EIA
Gas Turbine,mex,BCN,p203,mexico,mex,1,EIA
Combined Cycle,mex,BCN,p204,mexico,mex,1,EIA
Gas Turbine,mex,BCN,p204,mexico,mex,1,EIA
Combined Cycle,mex,BCS,p205,mexico,mex,1,EIA
Gas Turbine,mex,BCS,p205,mexico,mex,1,EIA
