Turbine,census_region,state,p,interconnect,country,reg_cap_cost_mult,source
Gas Turbine,MTN,WY,p23,WSCC,usa,1.007415,EIA
Combined Cycle,MTN,WY,p24,WSCC,usa,1.01703,EIA
Gas Turbine,MTN,WY,p24,WSCC,usa,1.11495,EIA
Combined Cycle,MTN,UT,p25,WSCC,usa,1.025955,EIA
Gas Turbine,MTN,UT,p25,WSCC,usa,1.034905,EIA
Combined Cycle,MTN,UT,p26,WSCC,usa,0.9932625,EIA
Gas Turbine,MTN,UT,p26,WSCC,usa,1.015071,EIA
Combined Cycle,MTN,AZ,p27,WSCC,usa,1.074915,EIA
Gas Turbine,MTN,AZ,p27,WSCC,usa,1.07726,EIA
Combined Cycle,MTN,AZ,p28,WSCC,usa,1.051255,EIA
Gas Turbine,MTN,AZ,p28,WSCC,usa,1.01898,EIA
Combined Cycle,MTN,AZ,p29,WSCC,usa,1.024785,EIA
Gas Turbine,MTN,AZ,p29,WSCC,usa,1.026115,EIA
Combined Cycle,MTN,AZ,p30,WSCC,usa,1.051565,EIA
Gas Turbine,MTN,AZ,p30,WSCC,usa,1.005232,EIA
Combined Cycle,MTN,NM,p31,WSCC,usa,0.9961055,EIA
Gas Turbine,MTN,NM,p31,WSCC,usa,1.020116,EIA
Combined Cycle,MTN,SD,p32,WSCC,usa,0.9490135,EIA
Gas Turbine,MTN,SD,p32,WSCC,usa,0.982271,EIA
Combined Cycle,MTN,CO,p33,WSCC,usa,1.01747,EIA
Gas Turbine,MTN,CO,p33,WSCC,usa,1.068655,EIA
Combined Cycle,MTN,CO,p34,WSCC,usa,1.0062115,EIA
Gas Turbine,MTN,CO,p34,WSCC,usa,1.035941,EIA
Combined Cycle,WNC,MT,p35,eastern,usa,0.9824955,EIA
Gas Turbine,WNC,MT,p35,eastern,usa,1.0086845,EIA
Combined Cycle,WNC,ND,p36,eastern,usa,0.967915,EIA
Gas Turbine,WNC,ND,p36,eastern,usa,0.9927665,EIA
Combined Cycle,WNC,ND,p37,eastern,usa,0.97733,EIA
Gas Turbine,WNC,ND,p37,eastern,usa,0.999189,EIA
Combined Cycle,WNC,SD,p38,eastern,usa,0.976964,EIA
Gas Turbine,WNC,SD,p38,eastern,usa,1.003529,EIA
Combined Cycle,WNC,NE,p39,eastern,usa,1.004509,EIA
Gas Turbine,WNC,NE,p39,eastern,usa,1.080505,EIA
Combined Cycle,WNC,NE,p40,eastern,usa,0.9905825,EIA
