Process Type,activity,flow_source,flows,value,unit,direction,type,source,data location,comment
dry with preheater,total,electricity,co2,0.064984546,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
dry with preheater,Energy Use,total,voc,3.4263E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,Energy Use,total,co,6.40679E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,Energy Use,total,nox,0.000119571,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,Energy Use,total,pm10,2.67166E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,Energy Use,total,pm2.5,7.47249E-06,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,Energy Use,total,sox,0.000140371,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,Energy Use,total,bc,6.91591E-07,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,Energy Use,total,oc,1.52131E-06,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,Energy Use,total,ch4,0.000664913,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,Energy Use,total,n2o,2.50132E-06,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,Energy Use,total,co2,0.078193863,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,Facility Emissions based on Federal Datasets,total,voc,0.000141168,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,Facility Emissions based on Federal Datasets,total,co,0.000141168,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,Facility Emissions based on Federal Datasets,total,nox,0.000141168,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,Facility Emissions based on Federal Datasets,total,pm10,0.000141168,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,Facility Emissions based on Federal Datasets,total,pm2.5,0.000141168,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,Facility Emissions based on Federal Datasets,total,sox,0.000141168,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,Facility Emissions based on Federal Datasets,total,bc,0.000141168,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,Facility Emissions based on Federal Datasets,total,oc,0.000141168,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,Facility Emissions based on Federal Datasets,total,ch4,0.000141168,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,Facility Emissions based on Federal Datasets,total,n2o,0.000141168,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,Facility Emissions based on Federal Datasets,total,co2,0.000141168,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,Avoided landfill gas emissions,total,voc,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,Avoided landfill gas emissions,total,co,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,Avoided landfill gas emissions,total,nox,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,Avoided landfill gas emissions,total,pm10,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,Avoided landfill gas emissions,total,pm2.5,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,Avoided landfill gas emissions,total,sox,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,Avoided landfill gas emissions,total,bc,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,Avoided landfill gas emissions,total,oc,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,Avoided landfill gas emissions,total,ch4,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,Avoided landfill gas emissions,total,n2o,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,Avoided landfill gas emissions,total,co2,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,On-site Mobile Fuel Use,total,voc,2.41881E-08,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,On-site Mobile Fuel Use,total,co,9.00459E-08,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,On-site Mobile Fuel Use,total,nox,2.50456E-07,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,On-site Mobile Fuel Use,total,pm10,9.9739E-09,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,On-site Mobile Fuel Use,total,pm2.5,9.55348E-09,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,On-site Mobile Fuel Use,total,sox,5.34783E-09,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,On-site Mobile Fuel Use,total,bc,6.90707E-09,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,On-site Mobile Fuel Use,total,oc,2.07946E-09,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,On-site Mobile Fuel Use,total,ch4,5.88732E-08,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,On-site Mobile Fuel Use,total,n2o,1.15576E-09,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,On-site Mobile Fuel Use,total,co2,4.69227E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,total,resid oil,resid oil,0.016,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
dry with precalciner,total,diesel,diesel,0.033,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
