Coal Type,Region,Generator Type,Count Emissions from Building Powerplant,mix,efficiency,flows,value,unit,direction,type,source,data location
Bituminous,FRCC,Boiler (~99% of US coal turbines),No,,34.80%,bc,5.63E-06,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = FRCC
Bituminous,FRCC,Boiler (~99% of US coal turbines),No,,34.80%,oc,1.06E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = FRCC
Bituminous,FRCC,Boiler (~99% of US coal turbines),No,,34.80%,ch4,1.00E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = FRCC
Bituminous,FRCC,Boiler (~99% of US coal turbines),No,,34.80%,n2o,1.60E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = FRCC
Bituminous,FRCC,Boiler (~99% of US coal turbines),No,,34.80%,co2,8.07E-01,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = FRCC
Bituminous,FRCC,Boiler (~99% of US coal turbines),Yes,,34.80%,voc,1.28E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = FRCC
Bituminous,FRCC,Boiler (~99% of US coal turbines),Yes,,34.80%,co,1.04E-04,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = FRCC
Bituminous,FRCC,Boiler (~99% of US coal turbines),Yes,,34.80%,nox,6.44E-04,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = FRCC
Bituminous,FRCC,Boiler (~99% of US coal turbines),Yes,,34.80%,pm10,1.88E-04,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = FRCC
Bituminous,FRCC,Boiler (~99% of US coal turbines),Yes,,34.80%,pm2.5,1.31E-04,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = FRCC
