Coal Rank,Generation Region,Generator Type,Include Infrastructure Emissions?,mix,efficiency,flows,value,unit,direction,type,source,data location
Bituminous,US,Mix,Yes,99%Boiler_1%IGCC,36.03%,pm10,6.16E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Mix when Inputs tab E710 = US
Bituminous,US,Mix,Yes,99%Boiler_1%IGCC,36.03%,pm2.5,4.31E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Mix when Inputs tab E710 = US
Bituminous,US,Mix,Yes,99%Boiler_1%IGCC,36.03%,sox,2.34E-03,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Mix when Inputs tab E710 = US
Bituminous,US,Mix,Yes,99%Boiler_1%IGCC,36.03%,bc,1.85E-06,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Mix when Inputs tab E710 = US
Bituminous,US,Mix,Yes,99%Boiler_1%IGCC,36.03%,oc,3.48E-06,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Mix when Inputs tab E710 = US
Bituminous,US,Mix,Yes,99%Boiler_1%IGCC,36.03%,ch4,1.13E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Mix when Inputs tab E710 = US
Bituminous,US,Mix,Yes,99%Boiler_1%IGCC,36.03%,n2o,1.50E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Mix when Inputs tab E710 = US
Bituminous,US,Mix,Yes,99%Boiler_1%IGCC,36.03%,co2,7.81E-01,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Mix when Inputs tab E710 = US
Bituminous,ASCC,Boiler,No,,26.00%,voc,3.20E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = ASCC
Bituminous,ASCC,Boiler,No,,26.00%,co,1.13E-04,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = ASCC
Bituminous,ASCC,Boiler,No,,26.00%,nox,1.34E-03,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = ASCC
Bituminous,ASCC,Boiler,No,,26.00%,pm10,1.19E-02,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = ASCC
Bituminous,ASCC,Boiler,No,,26.00%,pm2.5,3.50E-03,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = ASCC
Bituminous,ASCC,Boiler,No,,26.00%,sox,4.27E-03,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = ASCC
Bituminous,ASCC,Boiler,No,,26.00%,bc,1.51E-04,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = ASCC
Bituminous,ASCC,Boiler,No,,26.00%,oc,0.000283824,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = ASCC
Bituminous,ASCC,Boiler,No,,26.00%,ch4,1.40E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = ASCC
Bituminous,ASCC,Boiler,No,,26.00%,n2o,2.10E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = ASCC
Bituminous,ASCC,Boiler,No,,26.00%,co2,1.08E+00,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = ASCC
Bituminous,ASCC,Boiler,Yes,,26.00%,voc,3.28E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = ASCC
Bituminous,ASCC,Boiler,Yes,,26.00%,co,1.18E-04,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = ASCC
Bituminous,ASCC,Boiler,Yes,,26.00%,nox,1.34E-03,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = ASCC
Bituminous,ASCC,Boiler,Yes,,26.00%,pm10,1.19E-02,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = ASCC
Bituminous,ASCC,Boiler,Yes,,26.00%,pm2.5,3.50E-03,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = ASCC
Bituminous,ASCC,Boiler,Yes,,26.00%,sox,4.27E-03,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = ASCC
