feed,Generation Region,flows,value,unit,direction,type,source,data location
Hydro,SPP,bc,2.13E-08,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for SPP Hydro when Inputs tab E710 = SPP
Hydro,SPP,oc,4.81E-08,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for SPP Hydro when Inputs tab E710 = SPP
Hydro,SPP,ch4,1.74E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for SPP Hydro when Inputs tab E710 = SPP
Hydro,SPP,n2o,1.96E-08,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for SPP Hydro when Inputs tab E710 = SPP
Hydro,SPP,co2,0.002086057,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for SPP Hydro when Inputs tab E710 = SPP
Hydro,TRE,voc,1.27E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for TRE Hydro when Inputs tab E710 = TRE
Hydro,TRE,co,3.15E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for TRE Hydro when Inputs tab E710 = TRE
Hydro,TRE,nox,3.01E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for TRE Hydro when Inputs tab E710 = TRE
Hydro,TRE,pm10,1.14E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for TRE Hydro when Inputs tab E710 = TRE
Hydro,TRE,pm2.5,4.37E-07,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for TRE Hydro when Inputs tab E710 = TRE
Hydro,TRE,sox,1.43E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for TRE Hydro when Inputs tab E710 = TRE
Hydro,TRE,bc,2.13E-08,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for TRE Hydro when Inputs tab E710 = TRE
Hydro,TRE,oc,4.80E-08,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for TRE Hydro when Inputs tab E710 = TRE
Hydro,TRE,ch4,1.74E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for TRE Hydro when Inputs tab E710 = TRE
Hydro,TRE,n2o,1.96E-08,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for TRE Hydro when Inputs tab E710 = TRE
Hydro,TRE,co2,0.002084849,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for TRE Hydro when Inputs tab E710 = TRE
Hydro,US,voc,1.27E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US Hydro when Inputs tab E710 = US
Hydro,US,co,3.15E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US Hydro when Inputs tab E710 = US
Hydro,US,nox,3.00E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US Hydro when Inputs tab E710 = US
Hydro,US,pm10,1.14E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US Hydro when Inputs tab E710 = US
Hydro,US,pm2.5,4.36E-07,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US Hydro when Inputs tab E710 = US
Hydro,US,sox,1.42E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US Hydro when Inputs tab E710 = US
Hydro,US,bc,2.13E-08,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US Hydro when Inputs tab E710 = US
Hydro,US,oc,4.80E-08,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US Hydro when Inputs tab E710 = US
Hydro,US,ch4,1.73E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US Hydro when Inputs tab E710 = US
Hydro,US,n2o,1.96E-08,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US Hydro when Inputs tab E710 = US
Hydro,US,co2,0.002083252,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US Hydro when Inputs tab E710 = US
Hydro,WECC,voc,1.27E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for WECC Hydro when Inputs tab E710 = WECC
