Plant Design Type,Method for Estimating Credits of Co-Products,activity,flow_source,flows,flow_breakdown,value,unit,direction,type,Source,comment,data location,,
No co-products,Displacement method,MeOH Production: Non-Combustion Emissions,total,bc,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Displacement method,MeOH Production,total,bc,,8.8755E-09,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Displacement method,MeOH Production: Non-Combustion Emissions,total,bc,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Displacement method,Generation of Displaced Electricity,total,bc,,-1.26116E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Btu-based Allocation,MeOH Production,total,bc,,8.67221E-09,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Btu-based Allocation,MeOH Production: Non-Combustion Emissions,total,bc,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Displacement method,MeOH Production,electricity,ch4,,9.88269E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
Steam co-production,Displacement method,MeOH Production,steam,ch4,,-2.1705E-05,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
Steam co-production,Btu-based Allocation,MeOH Production,electricity,ch4,,9.88269E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
Steam co-production,Btu-based Allocation,MeOH Production,steam,ch4,,-2.1705E-05,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
No co-products,Displacement method,MeOH Production,electricity,ch4,,8.42035E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
Steam co-production,Displacement method,MeOH Production,total,ch4,combustion,1.19442E-05,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Displacement method,MeOH Production: Non-Combustion Emissions,total,ch4,combustion,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Displacement method,Production of Displaced Steam,total,ch4,combustion,-2.1705E-05,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Btu-based Allocation,MeOH Production,total,ch4,combustion,1.07654E-05,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Btu-based Allocation,MeOH Production: Non-Combustion Emissions,total,ch4,combustion,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
No co-products,Displacement method,MeOH Production,total,ch4,combustion,1.03852E-05,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
