Plant Design Type,Method for Estimating Credits of Co-Products,activity,flow_source,flows,flow_breakdown,value,unit,direction,type,Source,comment,data location,,
Electricity co-production,Displacement method,Generation of Displaced Electricity,total,sox,,-4.85283E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Btu-based Allocation,MeOH Production,total,sox,,1.41219E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Btu-based Allocation,MeOH Production: Non-Combustion Emissions,total,sox,,9.86389E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Displacement method,MeOH Production,electricity,voc,,5.63264E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
Steam co-production,Displacement method,MeOH Production,steam,voc,,-1.23731E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
Steam co-production,Displacement method,MeOH Production,total,voc,,6.8078E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Displacement method,MeOH Production: Non-Combustion Emissions,total,voc,,6.27488E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Displacement method,Production of Displaced Steam,total,voc,,-1.23731E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Btu-based Allocation,MeOH Production,electricity,voc,,5.63264E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
Steam co-production,Btu-based Allocation,MeOH Production,steam,voc,,-1.23731E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
Steam co-production,Btu-based Allocation,MeOH Production,total,voc,,6.13592E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Btu-based Allocation,MeOH Production: Non-Combustion Emissions,total,voc,,5.09743E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
No co-products,Displacement method,MeOH Production,electricity,voc,,4.79918E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
No co-products,Displacement method,MeOH Production,total,voc,,5.91927E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
No co-products,Displacement method,MeOH Production: Non-Combustion Emissions,total,voc,,6.27488E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Displacement method,MeOH Production,total,voc,,1.20688E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Displacement method,MeOH Production: Non-Combustion Emissions,total,voc,,6.27488E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Displacement method,Generation of Displaced Electricity,total,voc,,-3.17892E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Btu-based Allocation,MeOH Production,total,voc,,1.17924E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Btu-based Allocation,MeOH Production: Non-Combustion Emissions,total,voc,,5.99073E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
