census_region,year,value,units
ESC,2029,4.008422,$/MMBtu
ESC,2030,4.041948,$/MMBtu
ESC,2031,4.022088,$/MMBtu
ESC,2032,4.205861,$/MMBtu
ESC,2033,4.253932,$/MMBtu
ESC,2034,4.30222,$/MMBtu
ESC,2035,4.322612,$/MMBtu
ESC,2036,4.410601,$/MMBtu
ESC,2037,4.429983,$/MMBtu
ESC,2038,4.430268,$/MMBtu
ESC,2039,4.417197,$/MMBtu
ESC,2040,4.484367,$/MMBtu
ESC,2041,4.434253,$/MMBtu
ESC,2042,4.479774,$/MMBtu
ESC,2043,4.538056,$/MMBtu
ESC,2044,4.62887,$/MMBtu
ESC,2045,4.71215,$/MMBtu
ESC,2046,4.758695,$/MMBtu
ESC,2047,4.816934,$/MMBtu
ESC,2048,4.957936,$/MMBtu
ESC,2049,5.047474,$/MMBtu
ESC,2050,5.133073,$/MMBtu
WSC,2010,5.300164127,$/MMBtu
WSC,2011,4.825820514,$/MMBtu
WSC,2012,3.274607588,$/MMBtu
WSC,2013,4.256677733,$/MMBtu
WSC,2014,4.92196434,$/MMBtu
WSC,2015,2.972782937,$/MMBtu
WSC,2016,2.482231296,$/MMBtu
WSC,2017,3.056713,$/MMBtu
WSC,2018,3.032847,$/MMBtu
WSC,2019,2.921698,$/MMBtu
WSC,2020,3.052211,$/MMBtu
WSC,2021,3.026791,$/MMBtu
WSC,2022,3.094023,$/MMBtu
WSC,2023,3.284613,$/MMBtu
WSC,2024,3.522317,$/MMBtu
WSC,2025,3.765495,$/MMBtu
WSC,2026,3.838451,$/MMBtu
WSC,2027,3.872981,$/MMBtu
WSC,2028,3.96788,$/MMBtu
WSC,2029,3.968525,$/MMBtu
WSC,2030,4.020152,$/MMBtu
WSC,2031,4.005098,$/MMBtu
WSC,2032,4.15693,$/MMBtu
WSC,2033,4.214229,$/MMBtu
WSC,2034,4.263578,$/MMBtu
WSC,2035,4.308446,$/MMBtu
WSC,2036,4.396192,$/MMBtu
WSC,2037,4.411533,$/MMBtu
WSC,2038,4.412374,$/MMBtu
WSC,2039,4.431104,$/MMBtu
WSC,2040,4.506966,$/MMBtu
WSC,2041,4.481521,$/MMBtu
WSC,2042,4.53371,$/MMBtu
WSC,2043,4.596547,$/MMBtu
WSC,2044,4.686729,$/MMBtu
WSC,2045,4.752405,$/MMBtu
WSC,2046,4.802631,$/MMBtu
WSC,2047,4.8722,$/MMBtu
WSC,2048,5.016556,$/MMBtu
WSC,2049,5.09822,$/MMBtu
WSC,2050,5.171878,$/MMBtu
MTN,2010,5.781618303,$/MMBtu
MTN,2011,5.416517667,$/MMBtu
MTN,2012,3.856765679,$/MMBtu
MTN,2013,4.829651005,$/MMBtu
MTN,2014,5.235574359,$/MMBtu
MTN,2015,3.432674009,$/MMBtu
MTN,2016,2.84037632,$/MMBtu
MTN,2017,3.361964,$/MMBtu
MTN,2018,3.455285,$/MMBtu
MTN,2019,3.35939,$/MMBtu
MTN,2020,3.548691,$/MMBtu
MTN,2021,3.489571,$/MMBtu
MTN,2022,3.576122,$/MMBtu
MTN,2023,3.776772,$/MMBtu
MTN,2024,4.036963,$/MMBtu
MTN,2025,4.279438,$/MMBtu
MTN,2026,4.401387,$/MMBtu
MTN,2027,4.405323,$/MMBtu
MTN,2028,4.516009,$/MMBtu
MTN,2029,4.507771,$/MMBtu
MTN,2030,4.551278,$/MMBtu
MTN,2031,4.558646,$/MMBtu
MTN,2032,4.706707,$/MMBtu
MTN,2033,4.779005,$/MMBtu
MTN,2034,4.841191,$/MMBtu
MTN,2035,4.889381,$/MMBtu
MTN,2036,4.957469,$/MMBtu
MTN,2037,4.970362,$/MMBtu
MTN,2038,4.990716,$/MMBtu
MTN,2039,5.018431,$/MMBtu
MTN,2040,5.106656,$/MMBtu
MTN,2041,5.095194,$/MMBtu
MTN,2042,5.099609,$/MMBtu
MTN,2043,5.183884,$/MMBtu
MTN,2044,5.299695,$/MMBtu
MTN,2045,5.385355,$/MMBtu
MTN,2046,5.468846,$/MMBtu
MTN,2047,5.615118,$/MMBtu
MTN,2048,5.801559,$/MMBtu
MTN,2049,5.871701,$/MMBtu
MTN,2050,6.015897,$/MMBtu
PA,2010,5.547169931,$/MMBtu
PA,2011,5.227435389,$/MMBtu
PA,2012,3.992414865,$/MMBtu
PA,2013,4.781472751,$/MMBtu
PA,2014,5.33143223,$/MMBtu
PA,2015,3.460514735,$/MMBtu
PA,2016,2.938706944,$/MMBtu
PA,2017,3.357082,$/MMBtu
PA,2018,3.459789,$/MMBtu
PA,2019,3.338984,$/MMBtu
PA,2020,3.523911,$/MMBtu
PA,2021,3.519848,$/MMBtu
PA,2022,3.592702,$/MMBtu
PA,2023,3.749003,$/MMBtu
PA,2024,3.860687,$/MMBtu
PA,2025,4.127862,$/MMBtu
PA,2026,4.241331,$/MMBtu
PA,2027,4.200441,$/MMBtu
PA,2028,4.266362,$/MMBtu
PA,2029,4.251981,$/MMBtu
PA,2030,4.250721,$/MMBtu
PA,2031,4.245186,$/MMBtu
PA,2032,4.39187,$/MMBtu
PA,2033,4.464021,$/MMBtu
PA,2034,4.521524,$/MMBtu
PA,2035,4.581895,$/MMBtu
PA,2036,4.624398,$/MMBtu
PA,2037,4.634463,$/MMBtu
PA,2038,4.674663,$/MMBtu
PA,2039,4.702781,$/MMBtu
