r,fuel_type,reg_cap_cost_mult,source
p180,Coal,1,EIA
p181,Coal,1,EIA
p182,Coal,1,EIA
p183,Coal,1,EIA
p184,Coal,1,EIA
p185,Coal,1,EIA
p186,Coal,1,EIA
p187,Coal,1,EIA
p188,Coal,1,EIA
p189,Coal,1,EIA
p190,Coal,1,EIA
p191,Coal,1,EIA
p192,Coal,1,EIA
p193,Coal,1,EIA
p194,Coal,1,EIA
p195,Coal,1,EIA
p196,Coal,1,EIA
p197,Coal,1,EIA
p198,Coal,1,EIA
p199,Coal,1,EIA
p200,Coal,1,EIA
p201,Coal,1,EIA
p202,Coal,1,EIA
p203,Coal,1,EIA
p204,Coal,1,EIA
p205,Coal,1,EIA
