Plant Design Type,Method for Estimating Credits of Co-Products,activity,flow_source,flows,flow_breakdown,value,unit,direction,type,Source,comment,data location
Steam co-production,Btu-based Allocation,DME Production: Non-Combustion Emissions,total,sox,,8.26171E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Electricity co-production,Displacement method,DME Production,total,sox,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Electricity co-production,Displacement method,DME Production: Non-Combustion Emissions,total,sox,,9.00474E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Electricity co-production,Displacement method,Generation of Displaced Electricity,total,sox,,-2.73369E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Electricity co-production,Btu-based Allocation,DME Production,total,sox,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Electricity co-production,Btu-based Allocation,DME Production: Non-Combustion Emissions,total,sox,,8.77155E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Steam co-production,Displacement method,DME Production,,steam co-generated,,-0.044,MJ/MJ,input,energy,GREET,,MeOH_FTD tab for Natural Gas to Dimethyl Ether Row 95
Steam co-production,Btu-based Allocation,DME Production,,steam co-generated,,-0.044,MJ/MJ,input,energy,GREET,,MeOH_FTD tab for Natural Gas to Dimethyl Ether Row 95
No co-products,Displacement method,DME Production,electricity,voc,,5.62608E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
No co-products,Displacement method,DME Production,total,voc,,5.62608E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
No co-products,Displacement method,DME Production: Non-Combustion Emissions,total,voc,,5.48815E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Steam co-production,Displacement method,DME Production,electricity,voc,,5.68043E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Steam co-production,Displacement method,DME Production,steam,voc,,-4.97185E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Steam co-production,Displacement method,DME Production,total,voc,,5.68043E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Steam co-production,Displacement method,DME Production: Non-Combustion Emissions,total,voc,,5.48815E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
