Feedstock Source,Production Type,Plant Type,Hydrogen Phase,Co-produce Steam,Basis of H2 Production Assumptions,activity,flow_source,flows,flow_breakdown,value,unit,direction,type,Source,comment,data location
Coal,From Coal,Central Plants,Gas,No,Industry data,Coal Gasification,total,co2,,0.000463879,kg/MJ,output,mass,GREET,,Hydrogen tab Row 237
Coal,From Coal,Central Plants,Gas,No,Industry data,Coal Gasification: Non-Combustion Emissions,total,co2,,0.137140852,kg/MJ,output,mass,GREET,,Hydrogen tab Row 237
Coal,From Coal,Central Plants,Gas,No,Industry data,G.H2 Compression and Precooling,total,co2,,0.01289007,kg/MJ,output,mass,GREET,,Hydrogen tab Row 237
Coal,From Coal,Central Plants,Gas,No,H2A Model by NREL,Coal Gasification,total,co2,,0,kg/MJ,output,mass,GREET,,Hydrogen tab Row 237
Coal,From Coal,Central Plants,Gas,No,H2A Model by NREL,Coal Gasification: Non-Combustion Emissions,total,co2,,0.166987823,kg/MJ,output,mass,GREET,,Hydrogen tab Row 237
Coal,From Coal,Central Plants,Gas,No,H2A Model by NREL,G.H2 Compression and Precooling,total,co2,,0.01289031,kg/MJ,output,mass,GREET,,Hydrogen tab Row 237
Coal,From Coal,Central Plants,Gas,Yes,Industry data,Coal Gasification,total,co2,,0.000616747,kg/MJ,output,mass,GREET,,Hydrogen tab Row 237
Coal,From Coal,Central Plants,Gas,Yes,Industry data,Coal Gasification: Non-Combustion Emissions,total,co2,,0.154252623,kg/MJ,output,mass,GREET,,Hydrogen tab Row 237
Coal,From Coal,Central Plants,Gas,Yes,Industry data,Production of Displaced Steam,total,co2,,-0.060213941,kg/MJ,output,mass,GREET,,Hydrogen tab Row 237
Coal,From Coal,Central Plants,Gas,Yes,Industry data,G.H2 Compression and Precooling,total,co2,,0.012890043,kg/MJ,output,mass,GREET,,Hydrogen tab Row 237
Coal,From Coal,Central Plants,Gas,No,Industry data,Coal Gasification,,coal,,1.609225806,MJ/MJ,input,energy,GREET,Primary variable to be passed to midstream stage,Hydrogen tab Row 214
Coal,From Coal,Central Plants,Gas,No,H2A Model by NREL,Coal Gasification,,coal,,1.95941078,MJ/MJ,input,energy,GREET,Primary variable to be passed to midstream stage,Hydrogen tab Row 214
Coal,From Coal,Central Plants,Gas,Yes,Industry data,Coal Gasification,,coal,,1.80999274,MJ/MJ,input,energy,GREET,Primary variable to be passed to midstream stage,Hydrogen tab Row 214
Coal,From Coal,Central Plants,Gas,No,Industry data,Coal Gasification,,electricity,,0.003677419,MJ/MJ,input,energy,GREET,,Hydrogen tab Row 218
Coal,From Coal,Central Plants,Gas,No,Industry data,G.H2 Compression and Precooling,,electricity,,0.102186489,MJ/MJ,input,energy,GREET,,Hydrogen tab Row 218
Coal,From Coal,Central Plants,Gas,No,H2A Model by NREL,G.H2 Compression and Precooling,,electricity,,0.102186489,MJ/MJ,input,energy,GREET,,Hydrogen tab Row 218
Coal,From Coal,Central Plants,Gas,Yes,Industry data,Coal Gasification,,electricity,,0.004889292,MJ/MJ,input,energy,GREET,,Hydrogen tab Row 218
Coal,From Coal,Central Plants,Gas,Yes,Industry data,G.H2 Compression and Precooling,,electricity,,0.102186489,MJ/MJ,input,energy,GREET,,Hydrogen tab Row 218
Coal,From Coal,Central Plants,Gas,No,Industry data,Coal Gasification,total,Misc. Items,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,No,Industry data,Coal Gasification: Non-Combustion Emissions,total,Misc. Items,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,No,Industry data,G.H2 Compression and Precooling,total,Misc. Items,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,No,H2A Model by NREL,Coal Gasification,total,Misc. Items,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,No,H2A Model by NREL,Coal Gasification: Non-Combustion Emissions,total,Misc. Items,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,No,H2A Model by NREL,G.H2 Compression and Precooling,total,Misc. Items,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,Yes,Industry data,Coal Gasification,total,Misc. Items,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,Yes,Industry data,Coal Gasification: Non-Combustion Emissions,total,Misc. Items,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,Yes,Industry data,Production of Displaced Steam,total,Misc. Items,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,Yes,Industry data,G.H2 Compression and Precooling,total,Misc. Items,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,No,Industry data,Coal Gasification,electricity,n2o,,7.27E-09,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
