Feedstock Source,Production Type,Compute Cost,Plant Type,Hydrogen Phase,Co-produce Steam,Basis of H2 Production Assumptions,activity,flow_source,flows,flow_breakdown,value,unit,direction,type,Source,comment,data location
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Production of Displaced Steam,total,co,,-8.22E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,G.H2 Compression and Precooling,total,co,,4.62E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,Biomass Gasification,electricity,co2,,0.00209352,kg/MJ,output,mass,GREET,,Hydrogen tab Row 218 and Electric tab B220 and C220
Biomass,-,No,Central Plants,Gas,No,Industry data,G.H2 Compression and Precooling,electricity,co2,,0.012890043,kg/MJ,output,mass,GREET,,Hydrogen tab Row 218 and Electric tab B220 and C220
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,Biomass Gasification,electricity,co2,,0.003702056,kg/MJ,output,mass,GREET,,Hydrogen tab Row 218 and Electric tab B220 and C220
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,G.H2 Compression and Precooling,electricity,co2,,0.012890043,kg/MJ,output,mass,GREET,,Hydrogen tab Row 218 and Electric tab B220 and C220
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Biomass Gasification,electricity,co2,,0.002720178,kg/MJ,output,mass,GREET,,Hydrogen tab Row 218 and Electric tab B220 and C220
Biomass,-,No,Central Plants,Gas,Yes,Industry data,G.H2 Compression and Precooling,electricity,co2,,0.012890043,kg/MJ,output,mass,GREET,,Hydrogen tab Row 218 and Electric tab B220 and C220
Biomass,-,No,Central Plants,Gas,Yes,Industry data,G.H2 Production,steam,co2,,-0.02946223,kg/MJ,output,mass,GREET,,Hydrogen tab Row 197
Biomass,-,No,Central Plants,Gas,No,Industry data,Biomass Gasification,total,co2,biogenic,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,Biomass Gasification: Non-Combustion Emissions,total,co2,biogenic,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,G.H2 Compression and Precooling,total,co2,biogenic,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,Biomass Gasification,total,co2,biogenic,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,Biomass Gasification: Non-Combustion Emissions,total,co2,biogenic,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,G.H2 Compression and Precooling,total,co2,biogenic,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
