State,Source,Comments,value,unit
MN,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
MS,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
MO,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
MT,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
NE,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
NV,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
NH,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
NJ,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
NM,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
NY,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
