data label (bold = stored in excel),year,pop_VIS19,popD_VIS19,d_p_VIS19,S_d_VIS19,S_VIS19,f_ICEG_sedan_VIS19,f_ICED_sedan_VIS19,f_HEV_sedan_VIS19,f_PHEV_sedan_VIS19,f_BEV_sedan_VIS19,f_FCEV_sedan_VIS19,f_ICEG_LT_VIS19,f_ICED_LT_VIS19,f_HEV_LT_VIS19,f_PHEV_LT_VIS19,f_BEV_LT_VIS19,f_FCEV_LT_VIS19,F_sedan_VIS19,F_LT_VIS19,g_p_VIS19,d_TEDB20,d_a_TEDB20,d_Default,d_a_Default
26,1995,266278393,197883000,0.743143286,0.074226457,14688154,0.996,0.004,0,0,0,0,0.958991582,0.041,0,0,8.42E-06,0,0.587886265,0.412113735,34122.18279,14062.63,0.03326,17358.768,0.03326
27,1996,269394284,199855200,0.741868747,0.075277481,15044596,0.999,0.001,0,0,0,0,0.962992205,0.037,0,0,7.79E-06,0,0.566698767,0.433301233,34988.86413,15161.15,0.0321,17339.28,0.0321
28,1997,272646925,202074100,0.741156718,0.074571368,15068942,0.9991,0.0009,0,0,0,0,0.95199,0.048,0,0,0.00001,0,0.548948559,0.451051441,36112.27231,16288.94,0.032,16907.6,0.032
29,1998,275854104,204264100,0.740478742,0.075935306,15510857,0.9986004,0.0013,0,0,0.0000996,0,0.982885,0.017,0,0,0.000115,0,0.524904652,0.475095348,37246.86293,17696.29,0.0319,16476.00333,0.0319
30,1999,279040168,206187000,0.738915123,0.077639211,16008196,0.998331646,0.0016,1.95E-06,0,0.0000664,0,0.940856,0.059,0,0,0.000144,0,0.543364412,0.456635588,38599.10233,17626.18,0.0318,16044.49,0.0318
31,2000,282162411,213540118,0.756798601,0.080378339,17164000,0.9962986,0.0026,0.0010451,0,0.0000563,0,0.951911,0.048,0,0,0.000089,0,0.51141925,0.48858075,39751.57414,19422.34,0.0317,15613.06,0.0317
32,2001,284968955,216092350,0.758301374,0.078438686,16950000,0.995809898,0.0018,0.002359102,0,0.000031,0,0.946955,0.053,0,0,0.000045,0,0.492743363,0.507256637,39785.03553,20181.73,0.0316,15181.71333,0.0316
33,2002,287625193,218524328,0.759753781,0.076307293,16675000,0.991721205,0.0039,0.004368795,0,0.00001,0,0.950964,0.049,0,0,0.000036,0,0.482278861,0.517721139,40132.43722,20777.93,0.0315,14750.45,0.0315
34,2003,290107933,220707407,0.760776876,0.074732426,16494000,0.989850019,0.004,0.006140981,0,0.000009,0,0.940974,0.059,0,0,0.000026,0,0.458105978,0.541894022,40799.98736,22109.81,0.030775,14778.73656,0.030775
35,2004,292805298,220707407,0.753768489,0.075833431,16737000,0.986395629,0.003,0.010600371,0,0.000004,0,0.943662958,0.056,0.000325042,0,0.000012,0,0.447093266,0.552906734,41826.08745,23126.48,0.03005,14806.96875,0.03005
36,2005,295516599,223137182,0.755074953,0.075173487,16774000,0.976823089,0.004,0.019174911,0,0.000002,0,0.938959002,0.055,0.006029998,0,0.000011,0,0.456659115,0.543340885,42715.02867,23209.36,0.029325,14835.14656,0.029325
37,2006,298379912,225549591,0.755914128,0.072427531,16336000,0.971279899,0.006,0.022716101,0,0.000004,0,0.951211409,0.04,0.008776591,0,0.000012,0,0.475146915,0.524853085,43429.53221,22794.65,0.0286,14863.27,0.0286
38,2007,301231207,228183451,0.757502695,0.069536156,15867000,0.962993324,0.001,0.036002676,0,0.000004,0,0.951708698,0.04,0.008279302,0,0.000012,0,0.476586626,0.523413374,43841.40718,22947.7,0.027875,14891.33906,0.027875
39,2008,304093966,233917311,0.769227072,0.055639319,13015000,0.961707194,0.001262089,0.037015512,0,1.52E-05,0,0.953462452,0.036031913,0.010489799,0,1.58E-05,0,0.520092201,0.479907799,43282.34517,20772.01,0.02715,14919.35375,0.02715
40,2009,306771529,236171493,0.769861186,0.043341387,10236000,0.949647434,0.0065,0.043827286,0,2.53E-05,0,0.985629607,0.003516756,0.010853636,0,0,0,0.527745213,0.472254787,41408.99268,19556.07,0.026425,14947.31406,0.026425
41,2010,309326225,238351221,0.770549671,0.047803405,11394000,0.950457552,0.010468417,0.039022058,5.19E-05,0.00000003,0,0.988693159,0.003820771,0.00748607,0,0,0,0.494646305,0.505353695,42311.31712,21382.69,0.0257,14975.22,0.0257
42,2011,312722766,241570354.5,0.772474475,0.051918622,12542000,0.948415459,0.012474151,0.037328165,0.000125899,0.001656327,0,0.991327446,0.003972554,0.0047,0,0,0,0.485807686,0.514192314,42577.96824,21893.78,0.025038,14888.66969,0.0250375
43,2012,314500000,242947674,0.77248863,0.058530447,14219836,0.920372533,0.015528226,0.056673568,0.005325604,0.002100069,0,0.990952045,0.005600132,0.003447823,0,0,0,0.509499547,0.490500453,45022.50992,22084.05,0.024375,14802.21875,0.024375
44,2013,316700000,245151596,0.774081452,0.062323045,15278594,0.907452544,0.017087925,0.062660163,0.006459531,0.006339837,0,0.994253954,0.003121444,0.002624602,0,0,0,0.496511655,0.503488345,45533.45006,22926.06,0.023713,14715.86719,0.0237125
45,2014,318563456,248034175,0.778602097,0.065280379,16191765,0.916047872,0.013434224,0.055262844,0.007167229,0.008087831,0,0.992670707,0.004081089,0.003088959,1.32E-05,0.000139561,6.48E-06,0.476044458,0.523955542,46376.86426,24299.94,0.02305,14629.615,0.02305
46,2015,320896618,249391955,0.777172276,0.068546718,17095000,0.92887668,0.008595583,0.047665292,0.005428096,0.009423706,1.06E-05,0.987583629,0.009413552,0.002725726,0.000223533,4.53E-05,8.25E-06,0.439719216,0.560280784,47366.11779,26538.89,0.022388,14543.46219,0.0223875
47,2016,323071342,258481567,0.800075814,0.066422531,17169000,0.941320239,0.000626219,0.040793831,0.00910403,0.007996363,0.000159319,0.977663559,0.012916278,0.006511072,0.001005439,0.001903652,0,0.40031452,0.59968548,47784.64452,28656.36,0.021725,14457.40875,0.021725
48,2017,325915863,260737640,0.800015187,0.064005355,16688605.16,0.929258233,0.00024058,0.049944645,0.008393949,0.011974816,0.000187777,0.951389872,0.038450093,0.006533078,0.002521233,0.000943118,0.000162606,0.501645675,0.498354325,48268.90579,24055.52,0.021063,14371.45469,0.0210625
