State,Generation Region,transport,unit of value,storage,unit of value,source,Note 
PA,RFC,0.05,USD/inch-mile-tCO598,7,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
RI,NPCC,0.05,USD/inch-mile-tCO621,7,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
SC,SERC,0.05,USD/inch-mile-tCO639,7,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
SD,MRO,0.04,USD/inch-mile-tCO650,8,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
TN,SERC,0.05,USD/inch-mile-tCO663,7,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
TX,TRE,0.04,USD/inch-mile-tCO676,8,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
UT,WECC,0.06,USD/inch-mile-tCO699,7,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
VT,NPCC,0.05,USD/inch-mile-tCO710,7,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
VA,SERC,0.05,USD/inch-mile-tCO724,8,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
WA,WECC,0.05,USD/inch-mile-tCO745,8,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
WV,RFC,0.05,USD/inch-mile-tCO756,8,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
WI,MRO,0.05,USD/inch-mile-tCO770,8,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
WY,WECC,0.075,USD/inch-mile-tCO788,11,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
HI,HICC,0.05,USD/inch-mile-tCO797,8,$/tCO2,,No data available 
HI,HICC,0.05,USD/inch-mile-tCO798,8,$/tCO2,,No data available 
HI,HICC,0.05,USD/inch-mile-tCO799,8,$/tCO2,,No data available 
HI,HICC,0.05,USD/inch-mile-tCO800,8,$/tCO2,,No data available 
HI,HICC,0.05,USD/inch-mile-tCO801,8,$/tCO2,,No data available 
HI,HICC,0.05,USD/inch-mile-tCO802,8,$/tCO2,,No data available 
HI,HICC,0.05,USD/inch-mile-tCO803,8,$/tCO2,,No data available 
HI,HICC,0.05,USD/inch-mile-tCO804,8,$/tCO2,,No data available 
HI,HICC,0.05,USD/inch-mile-tCO805,8,$/tCO2,,No data available 
