Seqno,state,plant_name,orispl,unit,prime_mover,fuel,online_year,egrid_year,gen,number_of_boiler,genstatus,gen_prime_mover,gen_fuel,capacity_mw,match_score,plant_id
124,AK,Dutch Harbor,7502,11,IC,DFO,,2018,11,0,OP,IC,DFO,5.2,1,30
125,AK,Dutch Harbor,7502,12,IC,DFO,,2018,12,0,OP,IC,DFO,4.4,1,30
126,AK,Dutch Harbor,7502,13,IC,DFO,,2018,13,0,OP,IC,DFO,4.4,1,30
127,AK,Dutch Harbor,7502,15,IC,DFO,,2018,15,0,SB,IC,DFO,0.3,1,30
128,AK,Dutch Harbor,7502,2,IC,DFO,,2018,2,0,RE,IC,DFO,0.3,1,30
129,AK,Dutch Harbor,7502,3,IC,DFO,,2018,3,0,RE,IC,DFO,0.6,1,30
130,AK,Dutch Harbor,7502,4,IC,DFO,,2018,4,0,RE,IC,DFO,0.9,1,30
131,AK,Dutch Harbor,7502,5,IC,DFO,,2018,5,0,RE,IC,DFO,0.6,1,30
132,AK,Dutch Harbor,7502,6,IC,DFO,,2018,6,0,RE,IC,DFO,1.4,1,30
133,AK,Dutch Harbor,7502,8,IC,DFO,,2018,8,0,OA,IC,DFO,1.2,1,30
134,AK,Dutch Harbor,7502,9,IC,DFO,,2018,9,0,OA,IC,DFO,1.2,1,30
147,AK,Eklutna Generation Station,58989,EGS01,IC,NG,,2018,EGS01,0,OP,IC,NG,17.1,1,32
148,AK,Eklutna Generation Station,58989,EGS02,IC,NG,,2018,EGS02,0,OP,IC,NG,17.1,1,32
149,AK,Eklutna Generation Station,58989,EGS03,IC,NG,,2018,EGS03,0,OP,IC,NG,17.1,1,32
150,AK,Eklutna Generation Station,58989,EGS04,IC,NG,,2018,EGS04,0,OP,IC,NG,17.1,1,32
151,AK,Eklutna Generation Station,58989,EGS05,IC,NG,,2018,EGS05,0,OP,IC,NG,17.1,1,32
152,AK,Eklutna Generation Station,58989,EGS06,IC,NG,,2018,EGS06,0,OP,IC,NG,17.1,1,32
153,AK,Eklutna Generation Station,58989,EGS07,IC,NG,,2018,EGS07,0,OP,IC,NG,17.1,1,32
154,AK,Eklutna Generation Station,58989,EGS08,IC,NG,,2018,EGS08,0,OP,IC,NG,17.1,1,32
155,AK,Eklutna Generation Station,58989,EGS09,IC,NG,,2018,EGS09,0,OP,IC,NG,17.1,1,32
156,AK,Eklutna Generation Station,58989,EGS10,IC,NG,,2018,EGS10,0,OP,IC,NG,17.1,1,32
157,AK,Eklutna Hydro Project,77,1,HY,WAT,,2018,1,0,OP,HY,WAT,22.2,1,33
158,AK,Eklutna Hydro Project,77,2,HY,WAT,,2018,2,0,OP,HY,WAT,22.2,1,33
159,AK,Elim,57060,UNIT1,IC,DFO,,2018,UNIT1,0,OP,IC,DFO,0.2,1,34
160,AK,Elim,57060,UNIT2,IC,DFO,,2018,UNIT2,0,OP,IC,DFO,0.4,1,34
161,AK,Elim,57060,UNIT3,IC,DFO,,2018,UNIT3,0,OP,IC,DFO,1,1,34
162,AK,Emmonak,6314,2,IC,DFO,,2018,2,0,RE,IC,DFO,0.3,1,35
163,AK,Emmonak,6314,2A,IC,DFO,,2018,2A,0,OP,IC,DFO,0.5,1,35
164,AK,Emmonak,6314,4,IC,DFO,,2018,4,0,RE,IC,DFO,0.3,1,35
165,AK,Emmonak,6314,4a,IC,DFO,,2018,4a,0,OP,IC,DFO,0.5,1,35
166,AK,Emmonak,6314,5,IC,DFO,,2018,5,0,RE,IC,DFO,0.5,1,35
167,AK,Emmonak,6314,5a,IC,DFO,,2018,5a,0,RE,IC,DFO,0.5,1,35
168,AK,Emmonak,6314,5B,IC,DFO,,2018,5B,0,OP,IC,DFO,1.3,1,35
169,AK,Emmonak,6314,6,IC,DFO,,2018,6,0,OP,IC,DFO,0.9,1,35
170,AK,ESS Battery Microgrid,58405,1,BA,MWH,,2018,1,0,OP,BA,MWH,3,1,36
171,AK,Eva Creek Wind,57935,EVW,WT,WND,,2018,EVW,0,OP,WT,WND,24.6,1,37
172,AK,Eyak Service Center BESS,62714,BESS1,BA,MWH,,2018,BESS1,0,T,BA,MWH,1,1,38
173,AK,Fairbanks,6286,5,IC,DFO,,2018,5,0,SB,IC,DFO,2.7,1,39
174,AK,Fairbanks,6286,6,IC,DFO,,2018,6,0,SB,IC,DFO,2.7,1,39
175,AK,Fairbanks,6286,GT1,GT,DFO,,2018,GT1,0,OP,GT,DFO,18.4,1,39
176,AK,Fairbanks,6286,GT2,GT,DFO,,2018,GT2,0,OP,GT,DFO,18.4,1,39
177,AK,False Island,56146,1,IC,DFO,,2018,1,0,OP,IC,DFO,1.3,1,40
178,AK,False Island,56146,3,IC,DFO,,2018,3,0,RE,IC,DFO,0.3,1,40
