Balancing Authority,Date,Averaged Demand (MwH)
CISO,03/23/2020 4:00:00 AM 4,18818
CISO,03/23/2020 5:00:00 AM 5,19124
CISO,03/23/2020 6:00:00 AM 6,20078
CISO,03/23/2020 7:00:00 AM 7,21644
CISO,03/23/2020 8:00:00 AM 8,22389
CISO,03/23/2020 9:00:00 AM 9,22406
CISO,03/23/2020 10:00:00 AM 10,21667
CISO,03/23/2020 11:00:00 AM 11,21211
CISO,03/23/2020 12:00:00 PM 12,20974
CISO,03/23/2020 1:00:00 PM 13,20637
CISO,03/23/2020 2:00:00 PM 14,20024
CISO,03/23/2020 3:00:00 PM 15,19737
CISO,03/23/2020 4:00:00 PM 16,20019
CISO,03/23/2020 5:00:00 PM 17,20619
CISO,03/23/2020 6:00:00 PM 18,22022
CISO,03/23/2020 7:00:00 PM 19,23600
CISO,03/23/2020 8:00:00 PM 20,25149
CISO,03/23/2020 9:00:00 PM 21,24881
CISO,03/23/2020 10:00:00 PM 22,23830
CISO,03/23/2020 11:00:00 PM 23,22449
CISO,03/24/2020 12:00:00 AM 24,21191
CISO,03/24/2020 1:00:00 AM 1,20275
CISO,03/24/2020 2:00:00 AM 2,19555
CISO,03/24/2020 3:00:00 AM 3,19103
CISO,03/24/2020 4:00:00 AM 4,19118
CISO,03/24/2020 5:00:00 AM 5,19588
CISO,03/24/2020 6:00:00 AM 6,20643
CISO,03/24/2020 7:00:00 AM 7,22293
CISO,03/24/2020 8:00:00 AM 8,22982
CISO,03/24/2020 9:00:00 AM 9,22817
CISO,03/24/2020 10:00:00 AM 10,22212
CISO,03/24/2020 11:00:00 AM 11,21641
CISO,03/24/2020 12:00:00 PM 12,21523
CISO,03/24/2020 1:00:00 PM 13,21776
CISO,03/24/2020 2:00:00 PM 14,21272
CISO,03/24/2020 3:00:00 PM 15,20806
CISO,03/24/2020 4:00:00 PM 16,20554
CISO,03/24/2020 5:00:00 PM 17,20934
CISO,03/24/2020 6:00:00 PM 18,22025
CISO,03/24/2020 7:00:00 PM 19,23558
CISO,03/24/2020 8:00:00 PM 20,25059
CISO,03/24/2020 9:00:00 PM 21,24972
CISO,03/24/2020 10:00:00 PM 22,23986
CISO,03/24/2020 11:00:00 PM 23,22657
CISO,03/25/2020 12:00:00 AM 24,21448
CISO,03/25/2020 1:00:00 AM 1,20397
CISO,03/25/2020 2:00:00 AM 2,19542
CISO,03/25/2020 3:00:00 AM 3,19093
CISO,03/25/2020 4:00:00 AM 4,18962
CISO,03/25/2020 5:00:00 AM 5,19325
CISO,03/25/2020 6:00:00 AM 6,20447
CISO,03/25/2020 7:00:00 AM 7,22110
CISO,03/25/2020 8:00:00 AM 8,22579
CISO,03/25/2020 9:00:00 AM 9,22267
CISO,03/25/2020 10:00:00 AM 10,21837
CISO,03/25/2020 11:00:00 AM 11,21186
CISO,03/25/2020 12:00:00 PM 12,20275
CISO,03/25/2020 1:00:00 PM 13,20000
CISO,03/25/2020 2:00:00 PM 14,19933
CISO,03/25/2020 3:00:00 PM 15,19656
CISO,03/25/2020 4:00:00 PM 16,19938
CISO,03/25/2020 5:00:00 PM 17,20707
CISO,03/25/2020 6:00:00 PM 18,22093
CISO,03/25/2020 7:00:00 PM 19,23456
