Substance,State,LHV,HHV,LHV & HHV unit,LHV/HHV,Density,Density unit,C ratio by weight,S ratio by weight,Reference
Renewable Gasoline (Ex Situ CFP),Liquid,112060.7,120028.8039,Btu/gal,0.933615069,2819,g/gal,86.43%,0.00%,GREET Fuel_Specs Tab A4:I93
Renewable Gasoline (IDL),Liquid,113309,121365.8646,Btu/gal,0.933615069,2713,g/gal,83.11%,0.00%,GREET Fuel_Specs Tab A4:I93
Residual oil,Liquid,140352.5222,150110,Btu/gal,0.934997816,3752,g/gal,86.80%,0.50%,GREET Fuel_Specs Tab A4:I93
Shale Oil (Bakken),Liquid,125600.9073,134008.5257,Btu/gal,0.937260571,3087.237213,g/gal,85.30%,1.60%,GREET Fuel_Specs Tab A4:I93
Shale Oil (Eagle Ford),Liquid,122492.6089,130692.1604,Btu/gal,0.937260571,2984.042655,g/gal,85.30%,1.60%,GREET Fuel_Specs Tab A4:I93
SPK (FT Jet Fuel/HRJ) ,Liquid,119776.6215,128103.3334,Btu/gal,0.935000038,2865.556127,g/gal,84.70%,0.00%,GREET Fuel_Specs Tab A4:I93
Still gas (in refineries),Gas (32F/1atm),1159.273712,1279.738145,Btu/ft3,0.905867905,25.01985227,g/ft3,76.98%,0.00%,GREET Fuel_Specs Tab A4:I93
Subbituminous coal,Solid,16085444.01,17449319.67,Btu/ton,0.921837889,,,53.70%,0.36%,GREET Fuel_Specs Tab A4:I93
Sugarcane bagasse,Solid,12381771.31,14062678,Btu/ton,0.880470371,,,46.30%,,GREET Fuel_Specs Tab A4:I93
Sugarcane straw,Solid,13454048.89,15774000,Btu/ton,0.85292563,,,50.00%,,GREET Fuel_Specs Tab A4:I93
Sweet sorghum bagasse,Solid,14409931.25,15305245.09,Btu/ton,0.941502809,,,41.99%,0.00%,GREET Fuel_Specs Tab A4:I93
Switchgrass,Solid,14447000,15583000,Btu/ton,0.927100045,,,46.60%,0.11%,GREET Fuel_Specs Tab A4:I93
Synthetic coal,Solid,22639319.98,23633492.96,Btu/ton,0.957933726,,,80.64%,1.61%,GREET Fuel_Specs Tab A4:I93
Synthetic crude oil (SCO),Liquid,135084.9129,144475.8427,Btu/gal,0.935,3266,g/gal,85.56%,0.18%,GREET Fuel_Specs Tab A4:I93
Tertiary amyl methyl ether (TAME),Liquid,100480,108570,Btu/gal,0.925485862,2913,g/gal,70.60%,0.00%,GREET Fuel_Specs Tab A4:I93
Tire Derived Fuel,Solid,26664354.3,28293433.89,Btu/ton,0.942421991,,,48.80%,4.51%,GREET Fuel_Specs Tab A4:I93
U.S. conventional diesel,Liquid,128450,137380,Btu/gal,0.934997816,3167,g/gal,86.50%,0.02%,GREET Fuel_Specs Tab A4:I93
ULS Jet Fuel,Liquid,123041.2311,131594.8943,Btu/gal,0.935000038,2998.045512,g/gal,86.00%,0.00%,GREET Fuel_Specs Tab A4:I93
Waste coal,Solid,9945646.34,11958783.36,Btu/ton,0.831660382,,,32.64%,0.91%,GREET Fuel_Specs Tab A4:I93
Willow,Solid,15396000,16524000,Btu/ton,0.931735657,,,48.70%,0.05%,GREET Fuel_Specs Tab A4:I93
Yard trimming waste,Solid,15000000,,Btu/ton,,,,47.80%,0.04%,GREET Fuel_Specs Tab A4:I93
