state,electricity,unit,source,gas,unit,source,region,transport,unit,source,basin,storage,unit,source,
Mississippi,0.015666667,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.003468997,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,central,0.04,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,South Central ,8,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,MS
Missouri,0.0205,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.004881239,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,central,0.04,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,South Central ,8,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,MO
Montana,0.016361111,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.005601577,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,rockies,0.075,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,North Central ,11,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,MT
Nebraska,0.021222222,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.003165697,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,central,0.04,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,South Central ,8,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,NE
Nevada,0.020055556,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.005554186,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,western,0.06,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,California ,7,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,NV
New Hampshire,0.03575,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.0068053,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,eastern,0.05,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,Midwest/Gulf Coast,7,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,NH
New Jersey,0.029333333,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.006587303,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,eastern,0.05,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,Midwest/Gulf Coast,7,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,NJ
New Mexico,0.015944444,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.002426402,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,western,0.06,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,California ,7,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,NM
New York,0.015694444,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.005838531,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,eastern,0.05,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,Midwest/Gulf Coast,7,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,NY
North Carolina,0.018388889,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.004625329,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,eastern,0.05,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,Midwest/Gulf Coast,7,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,NC
