Count Emissions from Building Extraction Infrastructure,method,activity,flow_source,flows,value,unit,direction,type,source,comment,data location
Yes,,Coal Mining and Cleaning,electricity,oc,2.26E-09,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
No,,Coal Mining and Cleaning,total,oc,2.48E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Yes,,Coal Mining and Cleaning,total,oc,2.58E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
No,,Coal Mining: Non-Combustion ,total,oc,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Yes,,Coal Mining: Non-Combustion ,total,oc,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
No,,Coal Cleaning: Non-Combustion ,total,pm10,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Yes,,Coal Cleaning: Non-Combustion ,total,pm10,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
No,,Coal Mining and Cleaning,electricity,pm10,2.69E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Yes,,Coal Mining and Cleaning,electricity,pm10,2.69E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
No,,Coal Mining and Cleaning,total,pm10,1.80E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Yes,,Coal Mining and Cleaning,total,pm10,1.95E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
No,Surface,Coal Mining: Non-Combustion,total,pm10,1.13E-05,kg/MJ,output,mass,GREET,Coal mining shares shuold be asked from the user and based on that calculate the total pm10 emissions,"See ""co2"" flow"
Yes,Surface,Coal Mining: Non-Combustion,total,pm10,1.13E-05,kg/MJ,output,mass,GREET,Coal mining shares shuold be asked from the user and based on that calculate the total pm10 emissions,"See ""co2"" flow"
No,Underground,Coal Mining: Non-Combustion ,total,pm10,2.83E-07,kg/MJ,output,mass,GREET,Coal mining shares shuold be asked from the user and based on that calculate the total pm10 emissions,"See ""co2"" flow"
Yes,Underground,Coal Mining: Non-Combustion ,total,pm10,2.83E-07,kg/MJ,output,mass,GREET,Coal mining shares shuold be asked from the user and based on that calculate the total pm10 emissions,
No,Underground,Coal Mining: Non-Combustion ,total,pm2.5,1.80E-08,kg/MJ,output,mass,GREET,Coal mining shares shuold be asked from the user and based on that calculate the total pm2.5 emissions,"See ""co2"" flow"
Yes,Underground,Coal Mining: Non-Combustion ,total,pm2.5,1.80E-08,kg/MJ,output,mass,GREET,Coal mining shares shuold be asked from the user and based on that calculate the total pm2.5 emissions,
No,,Coal Cleaning: Non-Combustion ,total,pm2.5,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Yes,,Coal Cleaning: Non-Combustion ,total,pm2.5,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
No,,Coal Mining and Cleaning,electricity,pm2.5,1.17E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Yes,,Coal Mining and Cleaning,electricity,pm2.5,1.17E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
No,,Coal Mining and Cleaning,total,pm2.5,1.24E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Yes,,Coal Mining and Cleaning,total,pm2.5,1.32E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
No,Surface,Coal Mining: Non-Combustion,total,pm2.5,1.41E-06,kg/MJ,output,mass,GREET,Coal mining shares shuold be asked from the user and based on that calculate the total pm2.5 emissions,"See ""co2"" flow"
