Type,Location,Efficiency,Source,Comments,flows,value,unit,direction,type,data location
Conventional Oil,Middle East,98%,GREET ,EIA projection;API - 34.8;S cont- 1.4,petroleum,0.004309109763620969,MJ/MJ,input,energy,Petroleum tab-A81:E144
Conventional Oil,Middle East,98%,GREET ,EIA projection;API - 34.8;S cont- 1.4,bc,8.516171736118681e-08,kg/MJ,output,mass,Petroleum tab-A81:E144
Conventional Oil,Middle East,98%,GREET ,EIA projection;API - 34.8;S cont- 1.4,sox,1.300932088026008e-06,kg/MJ,output,mass,Petroleum tab-A81:E144
Conventional Oil,Middle East,98%,GREET ,EIA projection;API - 34.8;S cont- 1.4,ch4,8.218030398871845e-05,kg/MJ,output,mass,Petroleum tab-A81:E144
Conventional Oil,Middle East,98%,GREET ,EIA projection;API - 34.8;S cont- 1.4,nox,9.610717687487792e-06,kg/MJ,output,mass,Petroleum tab-A81:E144
Conventional Oil,Middle East,98%,GREET ,EIA projection;API - 34.8;S cont- 1.4,pm2.5,2.2570487894666872e-07,kg/MJ,output,mass,Petroleum tab-A81:E144
Conventional Oil,Middle East,98%,GREET ,EIA projection;API - 34.8;S cont- 1.4,co2,0.002613513782137736,kg/MJ,output,mass,Petroleum tab-A81:E144
Conventional Oil,Middle East,98%,GREET ,EIA projection;API - 34.8;S cont- 1.4,pm10,2.841512941450437e-07,kg/MJ,output,mass,Petroleum tab-A81:E144
Conventional Oil,Middle East,98%,GREET ,EIA projection;API - 34.8;S cont- 1.4,n2o,3.108632579388652e-08,kg/MJ,output,mass,Petroleum tab-A81:E144
Conventional Oil,Middle East,98%,GREET ,EIA projection;API - 34.8;S cont- 1.4,coal,0.0033501410050233533,MJ/MJ,input,energy,Petroleum tab-A81:E144
Conventional Oil,Middle East,98%,GREET ,EIA projection;API - 34.8;S cont- 1.4,water consumption,77.2551611994515,liter/MJ,input,mass,Petroleum tab-A81:E144
