Uranium Use Type,activity,flow_source,flows,value,unit,direction,type,Source,comment,data location
LWR,Uranium Conversion Fabricatioin and Waste Storage,electricity,pm10,0.351841258,kg/kg,output,mass,GREET,,"See ""co2 from electricity"" flow"
LWR,Uranium Conversion Fabricatioin and Waste Storage,electricity,pm2.5,0.152446245,kg/kg,output,mass,GREET,,"See ""co2 from electricity"" flow"
LWR,Uranium Conversion Fabricatioin and Waste Storage,electricity,sox,4.817641588,kg/kg,output,mass,GREET,,"See ""co2 from electricity"" flow"
LWR,Uranium Conversion Fabricatioin and Waste Storage,electricity,bc,0.012520125,kg/kg,output,mass,GREET,,"See ""co2 from electricity"" flow"
LWR,Uranium Conversion Fabricatioin and Waste Storage,electricity,oc,0.029553942,kg/kg,output,mass,GREET,,"See ""co2 from electricity"" flow"
LWR,Uranium Conversion Fabricatioin and Waste Storage,electricity,ch4,5.537089518,kg/kg,output,mass,GREET,,"See ""co2 from electricity"" flow"
LWR,Uranium Conversion Fabricatioin and Waste Storage,electricity,n2o,0.043747685,kg/kg,output,mass,GREET,,"See ""co2 from electricity"" flow"
LWR,Uranium Conversion Fabricatioin and Waste Storage,electricity,co2,2791.672743,kg/kg,output,mass,GREET,,Uranium tab Row 55 and Electric tab B220 and C220
LWR,Uranium Conversion Fabricatioin and Waste Storage,total,voc,3.431940389,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
LWR,Uranium Conversion Fabricatioin and Waste Storage,total,co,16.83009819,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
LWR,Uranium Conversion Fabricatioin and Waste Storage,total,nox,20.95628332,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
LWR,Uranium Conversion Fabricatioin and Waste Storage,total,pm10,0.583812566,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
LWR,Uranium Conversion Fabricatioin and Waste Storage,total,pm2.5,0.382371229,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
LWR,Uranium Conversion Fabricatioin and Waste Storage,total,sox,5.288392779,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
LWR,Uranium Conversion Fabricatioin and Waste Storage,total,bc,0.057953082,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
LWR,Uranium Conversion Fabricatioin and Waste Storage,total,oc,0.126804543,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
LWR,Uranium Conversion Fabricatioin and Waste Storage,total,ch4,22.10247207,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
LWR,Uranium Conversion Fabricatioin and Waste Storage,total,n2o,0.109336723,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
LWR,Uranium Conversion Fabricatioin and Waste Storage,total,co2,5346.620648,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
HTGR,Uranium Mining,diesel,diesel,49269.15787,MJ/kg,input,energy,GREET,,Uranium tab Row 50-55
HTGR,Uranium Mining,gasoline,gasoline,14891.05145,MJ/kg,input,energy,GREET,,Uranium tab Row 50-55
HTGR,Uranium Mining,natural gas,natural gas,73352.21638,MJ/kg,input,energy,GREET,,Uranium tab Row 50-55
HTGR,Uranium Mining,electricity,electricity,46327.71561,MJ/kg,input,energy,GREET,,Uranium tab Row 50-55
