Fuel type,LB_C (%),UP_C(%),M_C(%),LB_HHV(MJ/kg),UP_HHV(MJ/kg),M_HHV(MJ/kg),source
Western Hemlock wood,50.4,50.4,50.4,,,20.051,"Exergy table: Channiwala SA, Parikh PP. A unified correlation for estimatingHHV of solid, liquid and gaseous fuels. Fuel 2002;81:1051–63."
Douglass fire wood,50.64,50.64,50.64,,,20.377,"Exergy table: Channiwala SA, Parikh PP. A unified correlation for estimatingHHV of solid, liquid and gaseous fuels. Fuel 2002;81:1051–63."
Chaparra wood,46.9,46.9,46.9,,,18.61,"Exergy table: Channiwala SA, Parikh PP. A unified correlation for estimatingHHV of solid, liquid and gaseous fuels. Fuel 2002;81:1051–63."
Eucalyptus Globulus wood,48.18,48.18,48.18,,,19.23,"Exergy table: Channiwala SA, Parikh PP. A unified correlation for estimatingHHV of solid, liquid and gaseous fuels. Fuel 2002;81:1051–63."
Cotton stalks,39.47,39.47,39.47,,,15.831,"Exergy table: Channiwala SA, Parikh PP. A unified correlation for estimatingHHV of solid, liquid and gaseous fuels. Fuel 2002;81:1051–63."
Bagasse,44.8,44.8,44.8,,,17.33,"Exergy table: Channiwala SA, Parikh PP. A unified correlation for estimatingHHV of solid, liquid and gaseous fuels. Fuel 2002;81:1051–63."
Rice husks Patni-23,38.92,38.92,38.92,,,15.673,"Exergy table: Channiwala SA, Parikh PP. A unified correlation for estimatingHHV of solid, liquid and gaseous fuels. Fuel 2002;81:1051–63."
Dry Subabul wood,48.15,48.15,48.15,,,19.777,"Exergy table: Channiwala SA, Parikh PP. A unified correlation for estimatingHHV of solid, liquid and gaseous fuels. Fuel 2002;81:1051–63."
Saw dust,47.13,47.13,47.13,,,19.97,"Exergy table: Channiwala SA, Parikh PP. A unified correlation for estimatingHHV of solid, liquid and gaseous fuels. Fuel 2002;81:1051–63."
Soquel Poin giant brown Kelp,27.8,27.8,27.8,,,10.747,"Exergy table: Channiwala SA, Parikh PP. A unified correlation for estimatingHHV of solid, liquid and gaseous fuels. Fuel 2002;81:1051–63."
Sewage sludge,14.2,14.2,14.2,,,4.745,"Exergy table: Channiwala SA, Parikh PP. A unified correlation for estimatingHHV of solid, liquid and gaseous fuels. Fuel 2002;81:1051–63."
Missippi hyacinth digested slurry,31.7,31.7,31.7,,,12.28,"Exergy table: Channiwala SA, Parikh PP. A unified correlation for estimatingHHV of solid, liquid and gaseous fuels. Fuel 2002;81:1051–63."
Refuse derived fuel,44.72,44.72,44.72,,,19.495,"Exergy table: Channiwala SA, Parikh PP. A unified correlation for estimatingHHV of solid, liquid and gaseous fuels. Fuel 2002;81:1051–63."
Animal waste chars,35.1,35.1,35.1,,,13.4,"Exergy table: Channiwala SA, Parikh PP. A unified correlation for estimatingHHV of solid, liquid and gaseous fuels. Fuel 2002;81:1051–63."
Coal for BF-BOF,,,60.2023,,,26.34,
Coal for COREX-BOF,,,71,,,21.1,
Coal for Hisarna-BOF,,,67.273,,,28.7,
Coal for H-DRI-EAF,,,60.38,,,28.7,
Coal for NG-DRI-EAF,,,60.38,,,28.7,
Coal for Coal_DRI-EAF,,,60.6,,,28.7,
India-Raniganj Coal,,,60.38,,,17.92,
India-West-Bokaro Coal,,,52.38,,,17.158,
